[alignatt] en→zh, 15430문장
  [zh] 25/15430  14s  ETA 146.8m
  [zh] 8150/15430  1816s  ETA 27.0m
  [zh] 8175/15430  1821s  ETA 26.9m
  [zh] 8200/15430  1825s  ETA 26.8m
  [zh] 8225/15430  1831s  ETA 26.7m
  [zh] 8250/15430  1835s  ETA 26.6m
  [zh] 8275/15430  1840s  ETA 26.5m
  [zh] 8300/15430  1845s  ETA 26.4m
  [zh] 8325/15430  1850s  ETA 26.3m
  [zh] 8350/15430  1855s  ETA 26.2m
  [zh] 8375/15430  1860s  ETA 26.1m
  [zh] 8400/15430  1865s  ETA 26.0m
  [zh] 8425/15430  1869s  ETA 25.9m
  [zh] 8450/15430  1873s  ETA 25.8m
  [zh] 8475/15430  1879s  ETA 25.7m
  [zh] 8500/15430  1884s  ETA 25.6m
  [zh] 8525/15430  1890s  ETA 25.5m
  [zh] 8550/15430  1896s  ETA 25.4m
  [zh] 8575/15430  1901s  ETA 25.3m
  [zh] 8600/15430  1906s  ETA 25.2m
  [zh] 8625/15430  1912s  ETA 25.1m
  [zh] 8650/15430  1917s  ETA 25.0m
  [zh] 8675/15430  1922s  ETA 24.9m
  [zh] 8700/15430  1927s  ETA 24.8m
  [zh] 8725/15430  1932s  ETA 24.7m
  [zh] 8750/15430  1937s  ETA 24.7m
  [zh] 8775/15430  1942s  ETA 24.5m
  [zh] 8800/15430  1948s  ETA 24.5m
  [zh] 8825/15430  1953s  ETA 24.4m
  [zh] 8850/15430  1957s  ETA 24.3m
  [zh] 8875/15430  1963s  ETA 24.2m
  [zh] 8900/15430  1967s  ETA 24.1m
  [zh] 8925/15430  1973s  ETA 24.0m
  [zh] 8950/15430  1977s  ETA 23.9m
  [zh] 8975/15430  1983s  ETA 23.8m
  [zh] 9000/15430  1987s  ETA 23.7m
  [zh] 9025/15430  1992s  ETA 23.6m
  [zh] 9050/15430  1997s  ETA 23.5m
  [zh] 9075/15430  2001s  ETA 23.4m
  [zh] 9100/15430  2006s  ETA 23.3m
  [zh] 9125/15430  2011s  ETA 23.2m
  [zh] 9150/15430  2016s  ETA 23.1m
  [zh] 9175/15430  2021s  ETA 23.0m
  [zh] 9200/15430  2026s  ETA 22.9m
  [zh] 9225/15430  2030s  ETA 22.8m
  [zh] 9250/15430  2035s  ETA 22.7m
  [zh] 9275/15430  2040s  ETA 22.6m
  [zh] 9300/15430  2045s  ETA 22.5m
  [zh] 9325/15430  2050s  ETA 22.4m
  [zh] 9350/15430  2054s  ETA 22.3m
  [zh] 9375/15430  2058s  ETA 22.1m
  [zh] 9400/15430  2062s  ETA 22.1m
  [zh] 9425/15430  2068s  ETA 22.0m
  [zh] 9450/15430  2073s  ETA 21.9m
  [zh] 9475/15430  2077s  ETA 21.8m
  [zh] 9500/15430  2082s  ETA 21.7m
  [zh] 9525/15430  2086s  ETA 21.6m
  [zh] 9550/15430  2090s  ETA 21.5m
  [zh] 9575/15430  2095s  ETA 21.3m
  [zh] 9600/15430  2100s  ETA 21.3m
  [zh] 9625/15430  2105s  ETA 21.2m
  [zh] 9650/15430  2110s  ETA 21.1m
  [zh] 9675/15430  2116s  ETA 21.0m
  [zh] 9700/15430  2121s  ETA 20.9m
  [zh] 9725/15430  2127s  ETA 20.8m
  [zh] 9750/15430  2132s  ETA 20.7m
  [zh] 9775/15430  2137s  ETA 20.6m
  [zh] 9800/15430  2142s  ETA 20.5m
  [zh] 9825/15430  2146s  ETA 20.4m
  [zh] 9850/15430  2152s  ETA 20.3m
  [zh] 9875/15430  2155s  ETA 20.2m
  [zh] 9900/15430  2161s  ETA 20.1m
  [zh] 9925/15430  2166s  ETA 20.0m
  [zh] 9950/15430  2171s  ETA 19.9m
  [zh] 9975/15430  2175s  ETA 19.8m
  [zh] 10000/15430  2180s  ETA 19.7m
  [zh] 10025/15430  2185s  ETA 19.6m
  [zh] 10050/15430  2191s  ETA 19.5m
  [zh] 10075/15430  2196s  ETA 19.5m
  [zh] 10100/15430  2202s  ETA 19.4m
  [zh] 10125/15430  2207s  ETA 19.3m
  [zh] 10150/15430  2213s  ETA 19.2m
  [zh] 10175/15430  2218s  ETA 19.1m
  [zh] 10200/15430  2223s  ETA 19.0m
  [zh] 10225/15430  2228s  ETA 18.9m
  [zh] 10250/15430  2234s  ETA 18.8m
  [zh] 10275/15430  2241s  ETA 18.7m
  [zh] 10300/15430  2245s  ETA 18.6m
  [zh] 10325/15430  2250s  ETA 18.5m
  [zh] 10350/15430  2255s  ETA 18.4m
  [zh] 10375/15430  2259s  ETA 18.3m
  [zh] 10400/15430  2264s  ETA 18.3m
  [zh] 10425/15430  2269s  ETA 18.2m
  [zh] 10450/15430  2274s  ETA 18.1m
  [zh] 10475/15430  2279s  ETA 18.0m
  [zh] 10500/15430  2284s  ETA 17.9m
  [zh] 10525/15430  2288s  ETA 17.8m
  [zh] 10550/15430  2292s  ETA 17.7m
  [zh] 10575/15430  2297s  ETA 17.6m
  [zh] 10600/15430  2303s  ETA 17.5m
  [zh] 10625/15430  2308s  ETA 17.4m
  [zh] 10650/15430  2313s  ETA 17.3m
  [zh] 10675/15430  2318s  ETA 17.2m
  [zh] 10700/15430  2322s  ETA 17.1m
  [zh] 10725/15430  2327s  ETA 17.0m
  [zh] 10750/15430  2332s  ETA 16.9m
  [zh] 10775/15430  2336s  ETA 16.8m
  [zh] 10800/15430  2341s  ETA 16.7m
  [zh] 10825/15430  2345s  ETA 16.6m
  [zh] 10850/15430  2351s  ETA 16.5m
  [zh] 10875/15430  2356s  ETA 16.4m
  [zh] 10900/15430  2360s  ETA 16.4m
  [zh] 10925/15430  2365s  ETA 16.3m
  [zh] 10950/15430  2369s  ETA 16.2m
  [zh] 10975/15430  2374s  ETA 16.1m
  [zh] 11000/15430  2379s  ETA 16.0m
  [zh] 11025/15430  2383s  ETA 15.9m
  [zh] 11050/15430  2388s  ETA 15.8m
  [zh] 11075/15430  2392s  ETA 15.7m
  [zh] 11100/15430  2397s  ETA 15.6m
  [zh] 11125/15430  2402s  ETA 15.5m
  [zh] 11150/15430  2407s  ETA 15.4m
  [zh] 11175/15430  2412s  ETA 15.3m
  [zh] 11200/15430  2416s  ETA 15.2m
  [zh] 11225/15430  2422s  ETA 15.1m
  [zh] 11250/15430  2428s  ETA 15.0m
  [zh] 11275/15430  2432s  ETA 14.9m
  [zh] 11300/15430  2438s  ETA 14.8m
  [zh] 11325/15430  2443s  ETA 14.8m
  [zh] 11350/15430  2448s  ETA 14.7m
  [zh] 11375/15430  2453s  ETA 14.6m
  [zh] 11400/15430  2457s  ETA 14.5m
  [zh] 11425/15430  2462s  ETA 14.4m
  [zh] 11450/15430  2467s  ETA 14.3m
  [zh] 11475/15430  2472s  ETA 14.2m
  [zh] 11500/15430  2476s  ETA 14.1m
  [zh] 11525/15430  2482s  ETA 14.0m
  [zh] 11550/15430  2487s  ETA 13.9m
  [zh] 11575/15430  2492s  ETA 13.8m
  [zh] 11600/15430  2497s  ETA 13.7m
  [zh] 11625/15430  2502s  ETA 13.7m
  [zh] 11650/15430  2507s  ETA 13.6m
  [zh] 11675/15430  2512s  ETA 13.5m
  [zh] 11700/15430  2517s  ETA 13.4m
  [zh] 11725/15430  2521s  ETA 13.3m
  [zh] 11750/15430  2525s  ETA 13.2m
  [zh] 11775/15430  2531s  ETA 13.1m
  [zh] 11800/15430  2536s  ETA 13.0m
  [zh] 11825/15430  2540s  ETA 12.9m
  [zh] 11850/15430  2545s  ETA 12.8m
  [zh] 11875/15430  2550s  ETA 12.7m
  [zh] 11900/15430  2554s  ETA 12.6m
  [zh] 11925/15430  2559s  ETA 12.5m
  [zh] 11950/15430  2563s  ETA 12.4m
  [zh] 11975/15430  2568s  ETA 12.4m
  [zh] 12000/15430  2573s  ETA 12.3m
  [zh] 12025/15430  2578s  ETA 12.2m
  [zh] 12050/15430  2583s  ETA 12.1m
  [zh] 12075/15430  2588s  ETA 12.0m
  [zh] 12100/15430  2592s  ETA 11.9m
  [zh] 12125/15430  2597s  ETA 11.8m
  [zh] 12150/15430  2602s  ETA 11.7m
  [zh] 12175/15430  2607s  ETA 11.6m
  [zh] 12200/15430  2612s  ETA 11.5m
  [zh] 12225/15430  2616s  ETA 11.4m
  [zh] 12250/15430  2621s  ETA 11.3m
  [zh] 12275/15430  2625s  ETA 11.2m
  [zh] 12300/15430  2630s  ETA 11.2m
  [zh] 12325/15430  2635s  ETA 11.1m
  [zh] 12350/15430  2639s  ETA 11.0m
  [zh] 12375/15430  2645s  ETA 10.9m
  [zh] 12400/15430  2649s  ETA 10.8m
  [zh] 12425/15430  2654s  ETA 10.7m
  [zh] 12450/15430  2659s  ETA 10.6m
  [zh] 12475/15430  2664s  ETA 10.5m
  [zh] 12500/15430  2669s  ETA 10.4m
  [zh] 12525/15430  2673s  ETA 10.3m
  [zh] 12550/15430  2679s  ETA 10.2m
  [zh] 12575/15430  2684s  ETA 10.2m
  [zh] 12600/15430  2689s  ETA 10.1m
  [zh] 12625/15430  2694s  ETA 10.0m
  [zh] 12650/15430  2698s  ETA 9.9m
  [zh] 12675/15430  2704s  ETA 9.8m
  [zh] 12700/15430  2708s  ETA 9.7m
  [zh] 12725/15430  2713s  ETA 9.6m
  [zh] 12750/15430  2718s  ETA 9.5m
  [zh] 12775/15430  2722s  ETA 9.4m
  [zh] 12800/15430  2727s  ETA 9.3m
  [zh] 12825/15430  2733s  ETA 9.3m
  [zh] 12850/15430  2738s  ETA 9.2m
  [zh] 12875/15430  2743s  ETA 9.1m
  [zh] 12900/15430  2748s  ETA 9.0m
  [zh] 12925/15430  2752s  ETA 8.9m
  [zh] 12950/15430  2757s  ETA 8.8m
  [zh] 12975/15430  2763s  ETA 8.7m
  [zh] 13000/15430  2768s  ETA 8.6m
  [zh] 13025/15430  2773s  ETA 8.5m
  [zh] 13050/15430  2777s  ETA 8.4m
  [zh] 13075/15430  2782s  ETA 8.4m
  [zh] 13100/15430  2788s  ETA 8.3m
  [zh] 13125/15430  2793s  ETA 8.2m
  [zh] 13150/15430  2797s  ETA 8.1m
  [zh] 13175/15430  2802s  ETA 8.0m
  [zh] 13200/15430  2806s  ETA 7.9m
  [zh] 13225/15430  2810s  ETA 7.8m
  [zh] 13250/15430  2816s  ETA 7.7m
  [zh] 13275/15430  2820s  ETA 7.6m
  [zh] 13300/15430  2825s  ETA 7.5m
  [zh] 13325/15430  2830s  ETA 7.5m
  [zh] 13350/15430  2834s  ETA 7.4m
  [zh] 13375/15430  2839s  ETA 7.3m
  [zh] 13400/15430  2844s  ETA 7.2m
  [zh] 13425/15430  2849s  ETA 7.1m
  [zh] 13450/15430  2855s  ETA 7.0m
  [zh] 13475/15430  2860s  ETA 6.9m
  [zh] 13500/15430  2865s  ETA 6.8m
  [zh] 13525/15430  2869s  ETA 6.7m
  [zh] 13550/15430  2874s  ETA 6.6m
  [zh] 13575/15430  2878s  ETA 6.6m
  [zh] 13600/15430  2883s  ETA 6.5m
  [zh] 13625/15430  2888s  ETA 6.4m
  [zh] 13650/15430  2893s  ETA 6.3m
  [zh] 13675/15430  2898s  ETA 6.2m
  [zh] 13700/15430  2903s  ETA 6.1m
  [zh] 13725/15430  2908s  ETA 6.0m
  [zh] 13750/15430  2913s  ETA 5.9m
  [zh] 13775/15430  2917s  ETA 5.8m
  [zh] 13800/15430  2923s  ETA 5.8m
  [zh] 13825/15430  2928s  ETA 5.7m
  [zh] 13850/15430  2933s  ETA 5.6m
  [zh] 13875/15430  2939s  ETA 5.5m
  [zh] 13900/15430  2944s  ETA 5.4m
  [zh] 13925/15430  2950s  ETA 5.3m
  [zh] 13950/15430  2955s  ETA 5.2m
  [zh] 13975/15430  2961s  ETA 5.1m
  [zh] 14000/15430  2965s  ETA 5.0m
  [zh] 14025/15430  2971s  ETA 5.0m
  [zh] 14050/15430  2976s  ETA 4.9m
  [zh] 14075/15430  2981s  ETA 4.8m
  [zh] 14100/15430  2984s  ETA 4.7m
  [zh] 14125/15430  2990s  ETA 4.6m
