[mu_prefix] en→de, 15430문장
  [de] 25/15430  23s  ETA 232.6m
  [de] 3725/15430  1926s  ETA 100.9m
  [de] 3750/15430  1939s  ETA 100.7m
  [de] 3775/15430  1951s  ETA 100.4m
  [de] 3800/15430  1961s  ETA 100.0m
  [de] 3825/15430  1973s  ETA 99.8m
  [de] 3850/15430  1986s  ETA 99.6m
  [de] 3875/15430  2000s  ETA 99.4m
  [de] 3900/15430  2013s  ETA 99.2m
  [de] 3925/15430  2025s  ETA 98.9m
  [de] 3950/15430  2038s  ETA 98.7m
  [de] 3975/15430  2052s  ETA 98.6m
  [de] 4000/15430  2065s  ETA 98.3m
  [de] 4025/15430  2079s  ETA 98.2m
  [de] 4050/15430  2092s  ETA 98.0m
  [de] 4075/15430  2106s  ETA 97.8m
  [de] 4100/15430  2116s  ETA 97.5m
  [de] 4125/15430  2128s  ETA 97.2m
  [de] 4150/15430  2143s  ETA 97.1m
  [de] 4175/15430  2157s  ETA 96.9m
  [de] 4200/15430  2167s  ETA 96.6m
  [de] 4225/15430  2178s  ETA 96.3m
  [de] 4250/15430  2191s  ETA 96.0m
  [de] 4275/15430  2205s  ETA 95.9m
  [de] 4300/15430  2218s  ETA 95.7m
  [de] 4325/15430  2230s  ETA 95.4m
  [de] 4350/15430  2245s  ETA 95.3m
  [de] 4375/15430  2258s  ETA 95.1m
  [de] 4400/15430  2269s  ETA 94.8m
  [de] 4425/15430  2281s  ETA 94.5m
  [de] 4450/15430  2292s  ETA 94.3m
  [de] 4475/15430  2304s  ETA 94.0m
  [de] 4500/15430  2319s  ETA 93.9m
  [de] 4525/15430  2330s  ETA 93.6m
  [de] 4550/15430  2346s  ETA 93.5m
  [de] 4575/15430  2359s  ETA 93.3m
  [de] 4600/15430  2373s  ETA 93.1m
  [de] 4625/15430  2385s  ETA 92.9m
  [de] 4650/15430  2398s  ETA 92.7m
  [de] 4675/15430  2411s  ETA 92.5m
  [de] 4700/15430  2426s  ETA 92.3m
  [de] 4725/15430  2439s  ETA 92.1m
  [de] 4750/15430  2452s  ETA 91.9m
  [de] 4775/15430  2465s  ETA 91.7m
  [de] 4800/15430  2475s  ETA 91.4m
  [de] 4825/15430  2489s  ETA 91.2m
  [de] 4850/15430  2501s  ETA 90.9m
  [de] 4875/15430  2512s  ETA 90.7m
  [de] 4900/15430  2523s  ETA 90.4m
  [de] 4925/15430  2536s  ETA 90.2m
  [de] 4950/15430  2549s  ETA 90.0m
  [de] 4975/15430  2561s  ETA 89.7m
  [de] 5000/15430  2573s  ETA 89.5m
  [de] 5025/15430  2584s  ETA 89.2m
  [de] 5050/15430  2596s  ETA 88.9m
  [de] 5075/15430  2610s  ETA 88.7m
  [de] 5100/15430  2626s  ETA 88.7m
  [de] 5125/15430  2639s  ETA 88.4m
  [de] 5150/15430  2653s  ETA 88.2m
  [de] 5175/15430  2664s  ETA 88.0m
  [de] 5200/15430  2675s  ETA 87.7m
  [de] 5225/15430  2687s  ETA 87.5m
  [de] 5250/15430  2702s  ETA 87.3m
  [de] 5275/15430  2716s  ETA 87.2m
  [de] 5300/15430  2728s  ETA 86.9m
  [de] 5325/15430  2743s  ETA 86.8m
  [de] 5350/15430  2756s  ETA 86.5m
  [de] 5375/15430  2769s  ETA 86.3m
  [de] 5400/15430  2781s  ETA 86.1m
  [de] 5425/15430  2796s  ETA 85.9m
  [de] 5450/15430  2806s  ETA 85.6m
  [de] 5475/15430  2822s  ETA 85.5m
  [de] 5500/15430  2835s  ETA 85.3m
  [de] 5525/15430  2849s  ETA 85.1m
  [de] 5550/15430  2863s  ETA 85.0m
  [de] 5575/15430  2876s  ETA 84.7m
  [de] 5600/15430  2890s  ETA 84.6m
  [de] 5625/15430  2902s  ETA 84.3m
  [de] 5650/15430  2914s  ETA 84.1m
  [de] 5675/15430  2926s  ETA 83.8m
  [de] 5700/15430  2941s  ETA 83.7m
  [de] 5725/15430  2952s  ETA 83.4m
  [de] 5750/15430  2966s  ETA 83.2m
  [de] 5775/15430  2978s  ETA 83.0m
  [de] 5800/15430  2991s  ETA 82.8m
  [de] 5825/15430  3005s  ETA 82.6m
  [de] 5850/15430  3020s  ETA 82.4m
  [de] 5875/15430  3031s  ETA 82.2m
  [de] 5900/15430  3043s  ETA 81.9m
  [de] 5925/15430  3056s  ETA 81.7m
  [de] 5950/15430  3069s  ETA 81.5m
  [de] 5975/15430  3083s  ETA 81.3m
  [de] 6000/15430  3095s  ETA 81.1m
  [de] 6025/15430  3108s  ETA 80.9m
  [de] 6050/15430  3122s  ETA 80.7m
  [de] 6075/15430  3134s  ETA 80.4m
  [de] 6100/15430  3144s  ETA 80.1m
  [de] 6125/15430  3157s  ETA 79.9m
  [de] 6150/15430  3170s  ETA 79.7m
  [de] 6175/15430  3184s  ETA 79.5m
  [de] 6200/15430  3197s  ETA 79.3m
  [de] 6225/15430  3210s  ETA 79.1m
  [de] 6250/15430  3223s  ETA 78.9m
  [de] 6275/15430  3235s  ETA 78.7m
  [de] 6300/15430  3249s  ETA 78.5m
  [de] 6325/15430  3261s  ETA 78.2m
  [de] 6350/15430  3274s  ETA 78.0m
  [de] 6375/15430  3288s  ETA 77.8m
  [de] 6400/15430  3299s  ETA 77.6m
  [de] 6425/15430  3314s  ETA 77.4m
  [de] 6450/15430  3327s  ETA 77.2m
  [de] 6475/15430  3340s  ETA 77.0m
  [de] 6500/15430  3355s  ETA 76.8m
  [de] 6525/15430  3369s  ETA 76.6m
  [de] 6550/15430  3381s  ETA 76.4m
  [de] 6575/15430  3396s  ETA 76.2m
  [de] 6600/15430  3410s  ETA 76.0m
  [de] 6625/15430  3423s  ETA 75.8m
  [de] 6650/15430  3435s  ETA 75.6m
  [de] 6675/15430  3449s  ETA 75.4m
  [de] 6700/15430  3464s  ETA 75.2m
  [de] 6725/15430  3477s  ETA 75.0m
  [de] 6750/15430  3489s  ETA 74.8m
  [de] 6775/15430  3501s  ETA 74.6m
  [de] 6800/15430  3517s  ETA 74.4m
  [de] 6825/15430  3531s  ETA 74.2m
  [de] 6850/15430  3545s  ETA 74.0m
  [de] 6875/15430  3557s  ETA 73.8m
  [de] 6900/15430  3569s  ETA 73.5m
  [de] 6925/15430  3585s  ETA 73.4m
  [de] 6950/15430  3597s  ETA 73.2m
  [de] 6975/15430  3612s  ETA 73.0m
  [de] 7000/15430  3623s  ETA 72.7m
  [de] 7025/15430  3637s  ETA 72.5m
  [de] 7050/15430  3648s  ETA 72.3m
  [de] 7075/15430  3663s  ETA 72.1m
  [de] 7100/15430  3676s  ETA 71.9m
  [de] 7125/15430  3692s  ETA 71.7m
  [de] 7150/15430  3705s  ETA 71.5m
  [de] 7175/15430  3718s  ETA 71.3m
  [de] 7200/15430  3729s  ETA 71.0m
  [de] 7225/15430  3741s  ETA 70.8m
  [de] 7250/15430  3755s  ETA 70.6m
  [de] 7275/15430  3769s  ETA 70.4m
  [de] 7300/15430  3782s  ETA 70.2m
  [de] 7325/15430  3795s  ETA 70.0m
  [de] 7350/15430  3810s  ETA 69.8m
  [de] 7375/15430  3822s  ETA 69.6m
  [de] 7400/15430  3834s  ETA 69.3m
  [de] 7425/15430  3848s  ETA 69.1m
  [de] 7450/15430  3860s  ETA 68.9m
  [de] 7475/15430  3873s  ETA 68.7m
  [de] 7500/15430  3884s  ETA 68.4m
  [de] 7525/15430  3896s  ETA 68.2m
  [de] 7550/15430  3909s  ETA 68.0m
  [de] 7575/15430  3921s  ETA 67.8m
  [de] 7600/15430  3933s  ETA 67.5m
  [de] 7625/15430  3944s  ETA 67.3m
  [de] 7650/15430  3955s  ETA 67.0m
  [de] 7675/15430  3969s  ETA 66.8m
  [de] 7700/15430  3983s  ETA 66.6m
  [de] 7725/15430  3994s  ETA 66.4m
  [de] 7750/15430  4006s  ETA 66.2m
  [de] 7775/15430  4017s  ETA 65.9m
  [de] 7800/15430  4028s  ETA 65.7m
  [de] 7825/15430  4042s  ETA 65.5m
  [de] 7850/15430  4054s  ETA 65.2m
  [de] 7875/15430  4068s  ETA 65.0m
  [de] 7900/15430  4081s  ETA 64.8m
  [de] 7925/15430  4096s  ETA 64.6m
  [de] 7950/15430  4110s  ETA 64.5m
  [de] 7975/15430  4123s  ETA 64.2m
  [de] 8000/15430  4135s  ETA 64.0m
  [de] 8025/15430  4149s  ETA 63.8m
  [de] 8050/15430  4162s  ETA 63.6m
  [de] 8075/15430  4175s  ETA 63.4m
  [de] 8100/15430  4188s  ETA 63.2m
  [de] 8125/15430  4203s  ETA 63.0m
  [de] 8150/15430  4218s  ETA 62.8m
  [de] 8175/15430  4231s  ETA 62.6m
  [de] 8200/15430  4244s  ETA 62.4m
  [de] 8225/15430  4258s  ETA 62.2m
  [de] 8250/15430  4270s  ETA 61.9m
  [de] 8275/15430  4285s  ETA 61.7m
  [de] 8300/15430  4299s  ETA 61.5m
  [de] 8325/15430  4314s  ETA 61.4m
  [de] 8350/15430  4329s  ETA 61.2m
  [de] 8375/15430  4341s  ETA 61.0m
  [de] 8400/15430  4356s  ETA 60.8m
  [de] 8425/15430  4368s  ETA 60.5m
  [de] 8450/15430  4379s  ETA 60.3m
  [de] 8475/15430  4394s  ETA 60.1m
  [de] 8500/15430  4408s  ETA 59.9m
  [de] 8525/15430  4423s  ETA 59.7m
  [de] 8550/15430  4438s  ETA 59.5m
  [de] 8575/15430  4451s  ETA 59.3m
  [de] 8600/15430  4464s  ETA 59.1m
  [de] 8625/15430  4479s  ETA 58.9m
  [de] 8650/15430  4493s  ETA 58.7m
  [de] 8675/15430  4506s  ETA 58.5m
  [de] 8700/15430  4519s  ETA 58.3m
  [de] 8725/15430  4535s  ETA 58.1m
  [de] 8750/15430  4549s  ETA 57.9m
  [de] 8775/15430  4561s  ETA 57.7m
  [de] 8800/15430  4578s  ETA 57.5m
  [de] 8825/15430  4591s  ETA 57.3m
  [de] 8850/15430  4605s  ETA 57.1m
  [de] 8875/15430  4619s  ETA 56.9m
  [de] 8900/15430  4632s  ETA 56.6m
  [de] 8925/15430  4646s  ETA 56.4m
  [de] 8950/15430  4661s  ETA 56.2m
  [de] 8975/15430  4674s  ETA 56.0m
  [de] 9000/15430  4686s  ETA 55.8m
  [de] 9025/15430  4702s  ETA 55.6m
  [de] 9050/15430  4715s  ETA 55.4m
  [de] 9075/15430  4727s  ETA 55.2m
  [de] 9100/15430  4740s  ETA 55.0m
  [de] 9125/15430  4753s  ETA 54.7m
  [de] 9150/15430  4767s  ETA 54.5m
  [de] 9175/15430  4780s  ETA 54.3m
  [de] 9200/15430  4795s  ETA 54.1m
  [de] 9225/15430  4808s  ETA 53.9m
  [de] 9250/15430  4822s  ETA 53.7m
  [de] 9275/15430  4836s  ETA 53.5m
  [de] 9300/15430  4849s  ETA 53.3m
  [de] 9325/15430  4863s  ETA 53.1m
  [de] 9350/15430  4874s  ETA 52.8m
  [de] 9375/15430  4885s  ETA 52.6m
  [de] 9400/15430  4900s  ETA 52.4m
  [de] 9425/15430  4915s  ETA 52.2m
  [de] 9450/15430  4928s  ETA 52.0m
  [de] 9475/15430  4940s  ETA 51.7m
  [de] 9500/15430  4952s  ETA 51.5m
  [de] 9525/15430  4963s  ETA 51.3m
  [de] 9550/15430  4976s  ETA 51.1m
  [de] 9575/15430  4988s  ETA 50.8m
  [de] 9600/15430  5001s  ETA 50.6m
  [de] 9625/15430  5014s  ETA 50.4m
  [de] 9650/15430  5029s  ETA 50.2m
  [de] 9675/15430  5045s  ETA 50.0m
  [de] 9700/15430  5059s  ETA 49.8m
  [de] 9725/15430  5072s  ETA 49.6m
  [de] 9750/15430  5086s  ETA 49.4m
  [de] 9775/15430  5098s  ETA 49.2m
  [de] 9800/15430  5112s  ETA 48.9m
  [de] 9825/15430  5125s  ETA 48.7m
  [de] 9850/15430  5138s  ETA 48.5m
  [de] 9875/15430  5149s  ETA 48.3m
  [de] 9900/15430  5163s  ETA 48.1m
  [de] 9925/15430  5177s  ETA 47.9m
  [de] 9950/15430  5190s  ETA 47.6m
  [de] 9975/15430  5201s  ETA 47.4m
  [de] 10000/15430  5216s  ETA 47.2m
  [de] 10025/15430  5228s  ETA 47.0m
  [de] 10050/15430  5242s  ETA 46.8m
  [de] 10075/15430  5256s  ETA 46.6m
  [de] 10100/15430  5272s  ETA 46.4m
  [de] 10125/15430  5285s  ETA 46.1m
  [de] 10150/15430  5298s  ETA 45.9m
  [de] 10175/15430  5312s  ETA 45.7m
  [de] 10200/15430  5325s  ETA 45.5m
  [de] 10225/15430  5337s  ETA 45.3m
  [de] 10250/15430  5353s  ETA 45.1m
  [de] 10275/15430  5368s  ETA 44.9m
  [de] 10300/15430  5381s  ETA 44.7m
  [de] 10325/15430  5395s  ETA 44.5m
  [de] 10350/15430  5409s  ETA 44.2m
  [de] 10375/15430  5420s  ETA 44.0m
  [de] 10400/15430  5433s  ETA 43.8m
  [de] 10425/15430  5446s  ETA 43.6m
  [de] 10450/15430  5460s  ETA 43.4m
  [de] 10475/15430  5473s  ETA 43.1m
  [de] 10500/15430  5488s  ETA 42.9m
  [de] 10525/15430  5498s  ETA 42.7m
  [de] 10550/15430  5512s  ETA 42.5m
  [de] 10575/15430  5525s  ETA 42.3m
  [de] 10600/15430  5540s  ETA 42.1m
  [de] 10625/15430  5553s  ETA 41.9m
  [de] 10650/15430  5566s  ETA 41.6m
  [de] 10675/15430  5578s  ETA 41.4m
  [de] 10700/15430  5591s  ETA 41.2m
  [de] 10725/15430  5604s  ETA 41.0m
  [de] 10750/15430  5616s  ETA 40.7m
  [de] 10775/15430  5629s  ETA 40.5m
  [de] 10800/15430  5643s  ETA 40.3m
  [de] 10825/15430  5659s  ETA 40.1m
  [de] 10850/15430  5674s  ETA 39.9m
  [de] 10875/15430  5689s  ETA 39.7m
  [de] 10900/15430  5703s  ETA 39.5m
  [de] 10925/15430  5717s  ETA 39.3m
  [de] 10950/15430  5728s  ETA 39.1m
  [de] 10975/15430  5743s  ETA 38.9m
  [de] 11000/15430  5755s  ETA 38.6m
  [de] 11025/15430  5767s  ETA 38.4m
  [de] 11050/15430  5780s  ETA 38.2m
  [de] 11075/15430  5793s  ETA 38.0m
  [de] 11100/15430  5805s  ETA 37.7m
  [de] 11125/15430  5818s  ETA 37.5m
  [de] 11150/15430  5831s  ETA 37.3m
  [de] 11175/15430  5844s  ETA 37.1m
  [de] 11200/15430  5856s  ETA 36.9m
  [de] 11225/15430  5871s  ETA 36.7m
  [de] 11250/15430  5887s  ETA 36.5m
  [de] 11275/15430  5901s  ETA 36.2m
  [de] 11300/15430  5916s  ETA 36.0m
  [de] 11325/15430  5930s  ETA 35.8m
  [de] 11350/15430  5941s  ETA 35.6m
  [de] 11375/15430  5954s  ETA 35.4m
  [de] 11400/15430  5968s  ETA 35.2m
  [de] 11425/15430  5985s  ETA 35.0m
  [de] 11450/15430  5996s  ETA 34.7m
  [de] 11475/15430  6010s  ETA 34.5m
  [de] 11500/15430  6023s  ETA 34.3m
  [de] 11525/15430  6038s  ETA 34.1m
  [de] 11550/15430  6051s  ETA 33.9m
  [de] 11575/15430  6066s  ETA 33.7m
  [de] 11600/15430  6079s  ETA 33.5m
  [de] 11625/15430  6093s  ETA 33.2m
  [de] 11650/15430  6108s  ETA 33.0m
  [de] 11675/15430  6121s  ETA 32.8m
  [de] 11700/15430  6134s  ETA 32.6m
  [de] 11725/15430  6145s  ETA 32.4m
  [de] 11750/15430  6157s  ETA 32.1m
  [de] 11775/15430  6173s  ETA 31.9m
  [de] 11800/15430  6188s  ETA 31.7m
  [de] 11825/15430  6199s  ETA 31.5m
  [de] 11850/15430  6215s  ETA 31.3m
  [de] 11875/15430  6227s  ETA 31.1m
  [de] 11900/15430  6239s  ETA 30.8m
  [de] 11925/15430  6251s  ETA 30.6m
  [de] 11950/15430  6264s  ETA 30.4m
  [de] 11975/15430  6279s  ETA 30.2m
  [de] 12000/15430  6294s  ETA 30.0m
  [de] 12025/15430  6307s  ETA 29.8m
  [de] 12050/15430  6323s  ETA 29.6m
  [de] 12075/15430  6335s  ETA 29.3m
  [de] 12100/15430  6348s  ETA 29.1m
  [de] 12125/15430  6360s  ETA 28.9m
  [de] 12150/15430  6376s  ETA 28.7m
  [de] 12175/15430  6390s  ETA 28.5m
  [de] 12200/15430  6404s  ETA 28.3m
  [de] 12225/15430  6416s  ETA 28.0m
  [de] 12250/15430  6427s  ETA 27.8m
  [de] 12275/15430  6440s  ETA 27.6m
  [de] 12300/15430  6453s  ETA 27.4m
  [de] 12325/15430  6466s  ETA 27.2m
  [de] 12350/15430  6477s  ETA 26.9m
  [de] 12375/15430  6492s  ETA 26.7m
  [de] 12400/15430  6505s  ETA 26.5m
  [de] 12425/15430  6517s  ETA 26.3m
  [de] 12450/15430  6532s  ETA 26.1m
  [de] 12475/15430  6545s  ETA 25.8m
  [de] 12500/15430  6560s  ETA 25.6m
  [de] 12525/15430  6573s  ETA 25.4m
  [de] 12550/15430  6589s  ETA 25.2m
  [de] 12575/15430  6602s  ETA 25.0m
  [de] 12600/15430  6616s  ETA 24.8m
  [de] 12625/15430  6632s  ETA 24.6m
  [de] 12650/15430  6644s  ETA 24.3m
  [de] 12675/15430  6659s  ETA 24.1m
  [de] 12700/15430  6671s  ETA 23.9m
  [de] 12725/15430  6683s  ETA 23.7m
  [de] 12750/15430  6698s  ETA 23.5m
  [de] 12775/15430  6713s  ETA 23.3m
  [de] 12800/15430  6726s  ETA 23.0m
  [de] 12825/15430  6740s  ETA 22.8m
  [de] 12850/15430  6753s  ETA 22.6m
  [de] 12875/15430  6767s  ETA 22.4m
  [de] 12900/15430  6781s  ETA 22.2m
  [de] 12925/15430  6793s  ETA 21.9m
  [de] 12950/15430  6808s  ETA 21.7m
  [de] 12975/15430  6822s  ETA 21.5m
  [de] 13000/15430  6835s  ETA 21.3m
  [de] 13025/15430  6848s  ETA 21.1m
  [de] 13050/15430  6860s  ETA 20.9m
  [de] 13075/15430  6872s  ETA 20.6m
  [de] 13100/15430  6888s  ETA 20.4m
  [de] 13125/15430  6903s  ETA 20.2m
  [de] 13150/15430  6916s  ETA 20.0m
  [de] 13175/15430  6928s  ETA 19.8m
  [de] 13200/15430  6943s  ETA 19.5m
  [de] 13225/15430  6955s  ETA 19.3m
  [de] 13250/15430  6971s  ETA 19.1m
  [de] 13275/15430  6983s  ETA 18.9m
  [de] 13300/15430  6996s  ETA 18.7m
  [de] 13325/15430  7010s  ETA 18.5m
  [de] 13350/15430  7022s  ETA 18.2m
  [de] 13375/15430  7036s  ETA 18.0m
  [de] 13400/15430  7049s  ETA 17.8m
  [de] 13425/15430  7064s  ETA 17.6m
  [de] 13450/15430  7078s  ETA 17.4m
  [de] 13475/15430  7094s  ETA 17.2m
  [de] 13500/15430  7107s  ETA 16.9m
  [de] 13525/15430  7120s  ETA 16.7m
  [de] 13550/15430  7134s  ETA 16.5m
  [de] 13575/15430  7148s  ETA 16.3m
  [de] 13600/15430  7160s  ETA 16.1m
  [de] 13625/15430  7171s  ETA 15.8m
  [de] 13650/15430  7186s  ETA 15.6m
  [de] 13675/15430  7200s  ETA 15.4m
  [de] 13700/15430  7216s  ETA 15.2m
  [de] 13725/15430  7234s  ETA 15.0m
  [de] 13750/15430  7247s  ETA 14.8m
  [de] 13775/15430  7260s  ETA 14.5m
  [de] 13800/15430  7275s  ETA 14.3m
  [de] 13825/15430  7288s  ETA 14.1m
  [de] 13850/15430  7303s  ETA 13.9m
  [de] 13875/15430  7318s  ETA 13.7m
  [de] 13900/15430  7330s  ETA 13.4m
  [de] 13925/15430  7343s  ETA 13.2m
  [de] 13950/15430  7358s  ETA 13.0m
  [de] 13975/15430  7372s  ETA 12.8m
  [de] 14000/15430  7386s  ETA 12.6m
  [de] 14025/15430  7401s  ETA 12.4m
  [de] 14050/15430  7414s  ETA 12.1m
  [de] 14075/15430  7426s  ETA 11.9m
  [de] 14100/15430  7437s  ETA 11.7m
  [de] 14125/15430  7451s  ETA 11.5m
  [de] 14150/15430  7463s  ETA 11.3m
  [de] 14175/15430  7479s  ETA 11.0m
  [de] 14200/15430  7493s  ETA 10.8m
  [de] 14225/15430  7507s  ETA 10.6m
  [de] 14250/15430  7518s  ETA 10.4m
  [de] 14275/15430  7532s  ETA 10.2m
  [de] 14300/15430  7545s  ETA 9.9m
  [de] 14325/15430  7559s  ETA 9.7m
  [de] 14350/15430  7573s  ETA 9.5m
  [de] 14375/15430  7587s  ETA 9.3m
  [de] 14400/15430  7601s  ETA 9.1m
  [de] 14425/15430  7615s  ETA 8.8m
  [de] 14450/15430  7629s  ETA 8.6m
  [de] 14475/15430  7641s  ETA 8.4m
  [de] 14500/15430  7653s  ETA 8.2m
  [de] 14525/15430  7667s  ETA 8.0m
  [de] 14550/15430  7679s  ETA 7.7m
  [de] 14575/15430  7694s  ETA 7.5m
  [de] 14600/15430  7707s  ETA 7.3m
  [de] 14625/15430  7721s  ETA 7.1m
