[mu_prefix] en→zh, 15430문장
  [zh] 25/15430  22s  ETA 223.4m
  [zh] 4500/15430  2210s  ETA 89.4m
  [zh] 4525/15430  2220s  ETA 89.2m
  [zh] 4550/15430  2237s  ETA 89.2m
  [zh] 4575/15430  2251s  ETA 89.0m
  [zh] 4600/15430  2263s  ETA 88.8m
  [zh] 4625/15430  2274s  ETA 88.6m
  [zh] 4650/15430  2288s  ETA 88.4m
  [zh] 4675/15430  2300s  ETA 88.2m
  [zh] 4700/15430  2315s  ETA 88.1m
  [zh] 4725/15430  2327s  ETA 87.9m
  [zh] 4750/15430  2339s  ETA 87.6m
  [zh] 4775/15430  2350s  ETA 87.4m
  [zh] 4800/15430  2361s  ETA 87.1m
  [zh] 4825/15430  2375s  ETA 87.0m
  [zh] 4850/15430  2387s  ETA 86.8m
  [zh] 4875/15430  2399s  ETA 86.6m
  [zh] 4900/15430  2411s  ETA 86.3m
  [zh] 4925/15430  2422s  ETA 86.1m
  [zh] 4950/15430  2437s  ETA 86.0m
  [zh] 4975/15430  2448s  ETA 85.8m
  [zh] 5000/15430  2460s  ETA 85.5m
  [zh] 5025/15430  2471s  ETA 85.3m
  [zh] 5050/15430  2482s  ETA 85.0m
  [zh] 5075/15430  2495s  ETA 84.8m
  [zh] 5100/15430  2510s  ETA 84.7m
  [zh] 5125/15430  2522s  ETA 84.5m
  [zh] 5150/15430  2537s  ETA 84.4m
  [zh] 5175/15430  2547s  ETA 84.1m
  [zh] 5200/15430  2558s  ETA 83.9m
  [zh] 5225/15430  2570s  ETA 83.6m
  [zh] 5250/15430  2585s  ETA 83.5m
  [zh] 5275/15430  2598s  ETA 83.4m
  [zh] 5300/15430  2610s  ETA 83.1m
  [zh] 5325/15430  2623s  ETA 83.0m
  [zh] 5350/15430  2637s  ETA 82.8m
  [zh] 5375/15430  2648s  ETA 82.5m
  [zh] 5400/15430  2659s  ETA 82.3m
  [zh] 5425/15430  2672s  ETA 82.1m
  [zh] 5450/15430  2683s  ETA 81.9m
  [zh] 5475/15430  2696s  ETA 81.7m
  [zh] 5500/15430  2708s  ETA 81.5m
  [zh] 5525/15430  2722s  ETA 81.3m
  [zh] 5550/15430  2736s  ETA 81.2m
  [zh] 5575/15430  2748s  ETA 81.0m
  [zh] 5600/15430  2763s  ETA 80.8m
  [zh] 5625/15430  2776s  ETA 80.6m
  [zh] 5650/15430  2787s  ETA 80.4m
  [zh] 5675/15430  2798s  ETA 80.2m
  [zh] 5700/15430  2811s  ETA 80.0m
  [zh] 5725/15430  2822s  ETA 79.7m
  [zh] 5750/15430  2835s  ETA 79.5m
  [zh] 5775/15430  2847s  ETA 79.3m
  [zh] 5800/15430  2860s  ETA 79.1m
  [zh] 5825/15430  2875s  ETA 79.0m
  [zh] 5850/15430  2887s  ETA 78.8m
  [zh] 5875/15430  2896s  ETA 78.5m
  [zh] 5900/15430  2908s  ETA 78.3m
  [zh] 5925/15430  2920s  ETA 78.1m
  [zh] 5950/15430  2933s  ETA 77.9m
  [zh] 5975/15430  2945s  ETA 77.7m
  [zh] 6000/15430  2957s  ETA 77.4m
  [zh] 6025/15430  2969s  ETA 77.3m
  [zh] 6050/15430  2981s  ETA 77.0m
  [zh] 6075/15430  2995s  ETA 76.9m
  [zh] 6100/15430  3004s  ETA 76.6m
  [zh] 6125/15430  3018s  ETA 76.4m
  [zh] 6150/15430  3030s  ETA 76.2m
  [zh] 6175/15430  3045s  ETA 76.1m
  [zh] 6200/15430  3058s  ETA 75.9m
  [zh] 6225/15430  3069s  ETA 75.6m
  [zh] 6250/15430  3083s  ETA 75.5m
  [zh] 6275/15430  3094s  ETA 75.2m
  [zh] 6300/15430  3106s  ETA 75.0m
  [zh] 6325/15430  3118s  ETA 74.8m
  [zh] 6350/15430  3130s  ETA 74.6m
  [zh] 6375/15430  3143s  ETA 74.4m
  [zh] 6400/15430  3153s  ETA 74.2m
  [zh] 6425/15430  3166s  ETA 74.0m
  [zh] 6450/15430  3176s  ETA 73.7m
  [zh] 6475/15430  3189s  ETA 73.5m
  [zh] 6500/15430  3201s  ETA 73.3m
  [zh] 6525/15430  3213s  ETA 73.1m
  [zh] 6550/15430  3226s  ETA 72.9m
  [zh] 6575/15430  3240s  ETA 72.7m
  [zh] 6600/15430  3252s  ETA 72.5m
  [zh] 6625/15430  3264s  ETA 72.3m
  [zh] 6650/15430  3276s  ETA 72.1m
  [zh] 6675/15430  3289s  ETA 71.9m
  [zh] 6700/15430  3302s  ETA 71.7m
  [zh] 6725/15430  3315s  ETA 71.5m
  [zh] 6750/15430  3326s  ETA 71.3m
  [zh] 6775/15430  3338s  ETA 71.1m
  [zh] 6800/15430  3353s  ETA 70.9m
  [zh] 6825/15430  3368s  ETA 70.8m
  [zh] 6850/15430  3380s  ETA 70.6m
  [zh] 6875/15430  3392s  ETA 70.3m
  [zh] 6900/15430  3404s  ETA 70.1m
  [zh] 6925/15430  3418s  ETA 70.0m
  [zh] 6950/15430  3430s  ETA 69.8m
  [zh] 6975/15430  3444s  ETA 69.6m
  [zh] 7000/15430  3456s  ETA 69.4m
  [zh] 7025/15430  3469s  ETA 69.2m
  [zh] 7050/15430  3481s  ETA 69.0m
  [zh] 7075/15430  3494s  ETA 68.8m
  [zh] 7100/15430  3507s  ETA 68.6m
  [zh] 7125/15430  3519s  ETA 68.4m
  [zh] 7150/15430  3533s  ETA 68.2m
  [zh] 7175/15430  3544s  ETA 67.9m
  [zh] 7200/15430  3555s  ETA 67.7m
  [zh] 7225/15430  3566s  ETA 67.5m
  [zh] 7250/15430  3578s  ETA 67.3m
  [zh] 7275/15430  3593s  ETA 67.1m
  [zh] 7300/15430  3604s  ETA 66.9m
  [zh] 7325/15430  3616s  ETA 66.7m
  [zh] 7350/15430  3630s  ETA 66.5m
  [zh] 7375/15430  3643s  ETA 66.3m
  [zh] 7400/15430  3654s  ETA 66.1m
  [zh] 7425/15430  3668s  ETA 65.9m
  [zh] 7450/15430  3679s  ETA 65.7m
  [zh] 7475/15430  3692s  ETA 65.5m
  [zh] 7500/15430  3702s  ETA 65.2m
  [zh] 7525/15430  3714s  ETA 65.0m
  [zh] 7550/15430  3727s  ETA 64.8m
  [zh] 7575/15430  3739s  ETA 64.6m
  [zh] 7600/15430  3751s  ETA 64.4m
  [zh] 7625/15430  3763s  ETA 64.2m
  [zh] 7650/15430  3773s  ETA 64.0m
  [zh] 7675/15430  3785s  ETA 63.7m
  [zh] 7700/15430  3798s  ETA 63.5m
  [zh] 7725/15430  3808s  ETA 63.3m
  [zh] 7750/15430  3819s  ETA 63.1m
  [zh] 7775/15430  3831s  ETA 62.9m
  [zh] 7800/15430  3842s  ETA 62.6m
  [zh] 7825/15430  3855s  ETA 62.4m
  [zh] 7850/15430  3867s  ETA 62.2m
  [zh] 7875/15430  3882s  ETA 62.1m
  [zh] 7900/15430  3893s  ETA 61.8m
  [zh] 7925/15430  3907s  ETA 61.7m
  [zh] 7950/15430  3921s  ETA 61.5m
  [zh] 7975/15430  3933s  ETA 61.3m
  [zh] 8000/15430  3944s  ETA 61.1m
  [zh] 8025/15430  3959s  ETA 60.9m
  [zh] 8050/15430  3975s  ETA 60.7m
  [zh] 8075/15430  3987s  ETA 60.5m
  [zh] 8100/15430  3998s  ETA 60.3m
  [zh] 8125/15430  4012s  ETA 60.1m
  [zh] 8150/15430  4024s  ETA 59.9m
  [zh] 8175/15430  4038s  ETA 59.7m
  [zh] 8200/15430  4050s  ETA 59.5m
  [zh] 8225/15430  4063s  ETA 59.3m
  [zh] 8250/15430  4075s  ETA 59.1m
  [zh] 8275/15430  4088s  ETA 58.9m
  [zh] 8300/15430  4100s  ETA 58.7m
  [zh] 8325/15430  4115s  ETA 58.5m
  [zh] 8350/15430  4128s  ETA 58.3m
  [zh] 8375/15430  4140s  ETA 58.1m
  [zh] 8400/15430  4153s  ETA 57.9m
  [zh] 8425/15430  4165s  ETA 57.7m
  [zh] 8450/15430  4175s  ETA 57.5m
  [zh] 8475/15430  4189s  ETA 57.3m
  [zh] 8500/15430  4203s  ETA 57.1m
  [zh] 8525/15430  4219s  ETA 56.9m
  [zh] 8550/15430  4235s  ETA 56.8m
  [zh] 8575/15430  4247s  ETA 56.6m
  [zh] 8600/15430  4260s  ETA 56.4m
  [zh] 8625/15430  4275s  ETA 56.2m
  [zh] 8650/15430  4291s  ETA 56.0m
  [zh] 8675/15430  4302s  ETA 55.8m
  [zh] 8700/15430  4314s  ETA 55.6m
  [zh] 8725/15430  4327s  ETA 55.4m
  [zh] 8750/15430  4342s  ETA 55.2m
  [zh] 8775/15430  4354s  ETA 55.0m
  [zh] 8800/15430  4368s  ETA 54.8m
  [zh] 8825/15430  4381s  ETA 54.7m
  [zh] 8850/15430  4393s  ETA 54.4m
  [zh] 8875/15430  4409s  ETA 54.3m
  [zh] 8900/15430  4420s  ETA 54.1m
  [zh] 8925/15430  4435s  ETA 53.9m
  [zh] 8950/15430  4448s  ETA 53.7m
  [zh] 8975/15430  4462s  ETA 53.5m
  [zh] 9000/15430  4475s  ETA 53.3m
  [zh] 9025/15430  4488s  ETA 53.1m
  [zh] 9050/15430  4502s  ETA 52.9m
  [zh] 9075/15430  4513s  ETA 52.7m
  [zh] 9100/15430  4527s  ETA 52.5m
  [zh] 9125/15430  4540s  ETA 52.3m
  [zh] 9150/15430  4552s  ETA 52.1m
  [zh] 9175/15430  4565s  ETA 51.9m
  [zh] 9200/15430  4578s  ETA 51.7m
  [zh] 9225/15430  4589s  ETA 51.4m
  [zh] 9250/15430  4604s  ETA 51.3m
  [zh] 9275/15430  4618s  ETA 51.1m
  [zh] 9300/15430  4631s  ETA 50.9m
  [zh] 9325/15430  4644s  ETA 50.7m
  [zh] 9350/15430  4654s  ETA 50.4m
  [zh] 9375/15430  4665s  ETA 50.2m
  [zh] 9400/15430  4678s  ETA 50.0m
  [zh] 9425/15430  4693s  ETA 49.8m
  [zh] 9450/15430  4705s  ETA 49.6m
  [zh] 9475/15430  4717s  ETA 49.4m
  [zh] 9500/15430  4728s  ETA 49.2m
  [zh] 9525/15430  4740s  ETA 49.0m
  [zh] 9550/15430  4751s  ETA 48.8m
  [zh] 9575/15430  4762s  ETA 48.5m
  [zh] 9600/15430  4776s  ETA 48.3m
  [zh] 9625/15430  4789s  ETA 48.1m
  [zh] 9650/15430  4803s  ETA 48.0m
  [zh] 9675/15430  4816s  ETA 47.7m
  [zh] 9700/15430  4831s  ETA 47.6m
  [zh] 9725/15430  4844s  ETA 47.4m
  [zh] 9750/15430  4857s  ETA 47.2m
  [zh] 9775/15430  4871s  ETA 47.0m
  [zh] 9800/15430  4885s  ETA 46.8m
  [zh] 9825/15430  4896s  ETA 46.6m
  [zh] 9850/15430  4912s  ETA 46.4m
  [zh] 9875/15430  4922s  ETA 46.1m
  [zh] 9900/15430  4934s  ETA 45.9m
  [zh] 9925/15430  4948s  ETA 45.7m
  [zh] 9950/15430  4961s  ETA 45.5m
  [zh] 9975/15430  4972s  ETA 45.3m
  [zh] 10000/15430  4986s  ETA 45.1m
  [zh] 10025/15430  4998s  ETA 44.9m
  [zh] 10050/15430  5013s  ETA 44.7m
  [zh] 10075/15430  5028s  ETA 44.5m
  [zh] 10100/15430  5043s  ETA 44.4m
  [zh] 10125/15430  5057s  ETA 44.2m
  [zh] 10150/15430  5072s  ETA 44.0m
  [zh] 10175/15430  5087s  ETA 43.8m
  [zh] 10200/15430  5098s  ETA 43.6m
  [zh] 10225/15430  5111s  ETA 43.4m
  [zh] 10250/15430  5126s  ETA 43.2m
  [zh] 10275/15430  5142s  ETA 43.0m
  [zh] 10300/15430  5152s  ETA 42.8m
  [zh] 10325/15430  5165s  ETA 42.6m
  [zh] 10350/15430  5179s  ETA 42.4m
  [zh] 10375/15430  5189s  ETA 42.1m
  [zh] 10400/15430  5203s  ETA 41.9m
  [zh] 10425/15430  5217s  ETA 41.7m
  [zh] 10450/15430  5229s  ETA 41.5m
  [zh] 10475/15430  5242s  ETA 41.3m
  [zh] 10500/15430  5257s  ETA 41.1m
  [zh] 10525/15430  5267s  ETA 40.9m
  [zh] 10550/15430  5280s  ETA 40.7m
  [zh] 10575/15430  5291s  ETA 40.5m
  [zh] 10600/15430  5308s  ETA 40.3m
  [zh] 10625/15430  5320s  ETA 40.1m
  [zh] 10650/15430  5334s  ETA 39.9m
  [zh] 10675/15430  5347s  ETA 39.7m
  [zh] 10700/15430  5360s  ETA 39.5m
  [zh] 10725/15430  5373s  ETA 39.3m
  [zh] 10750/15430  5385s  ETA 39.1m
  [zh] 10775/15430  5396s  ETA 38.9m
  [zh] 10800/15430  5409s  ETA 38.7m
  [zh] 10825/15430  5422s  ETA 38.4m
  [zh] 10850/15430  5436s  ETA 38.2m
  [zh] 10875/15430  5449s  ETA 38.0m
  [zh] 10900/15430  5461s  ETA 37.8m
  [zh] 10925/15430  5475s  ETA 37.6m
  [zh] 10950/15430  5486s  ETA 37.4m
  [zh] 10975/15430  5498s  ETA 37.2m
  [zh] 11000/15430  5512s  ETA 37.0m
  [zh] 11025/15430  5524s  ETA 36.8m
  [zh] 11050/15430  5536s  ETA 36.6m
  [zh] 11075/15430  5548s  ETA 36.4m
  [zh] 11100/15430  5559s  ETA 36.1m
  [zh] 11125/15430  5571s  ETA 35.9m
  [zh] 11150/15430  5584s  ETA 35.7m
  [zh] 11175/15430  5597s  ETA 35.5m
  [zh] 11200/15430  5609s  ETA 35.3m
  [zh] 11225/15430  5624s  ETA 35.1m
  [zh] 11250/15430  5639s  ETA 34.9m
  [zh] 11275/15430  5650s  ETA 34.7m
  [zh] 11300/15430  5663s  ETA 34.5m
  [zh] 11325/15430  5677s  ETA 34.3m
  [zh] 11350/15430  5688s  ETA 34.1m
  [zh] 11375/15430  5699s  ETA 33.9m
  [zh] 11400/15430  5711s  ETA 33.6m
  [zh] 11425/15430  5724s  ETA 33.4m
  [zh] 11450/15430  5734s  ETA 33.2m
  [zh] 11475/15430  5748s  ETA 33.0m
  [zh] 11500/15430  5760s  ETA 32.8m
  [zh] 11525/15430  5777s  ETA 32.6m
  [zh] 11550/15430  5789s  ETA 32.4m
  [zh] 11575/15430  5805s  ETA 32.2m
  [zh] 11600/15430  5817s  ETA 32.0m
  [zh] 11625/15430  5831s  ETA 31.8m
  [zh] 11650/15430  5843s  ETA 31.6m
  [zh] 11675/15430  5856s  ETA 31.4m
  [zh] 11700/15430  5869s  ETA 31.2m
  [zh] 11725/15430  5879s  ETA 31.0m
  [zh] 11750/15430  5891s  ETA 30.8m
  [zh] 11775/15430  5904s  ETA 30.5m
  [zh] 11800/15430  5916s  ETA 30.3m
  [zh] 11825/15430  5927s  ETA 30.1m
  [zh] 11850/15430  5941s  ETA 29.9m
  [zh] 11875/15430  5953s  ETA 29.7m
  [zh] 11900/15430  5965s  ETA 29.5m
  [zh] 11925/15430  5979s  ETA 29.3m
  [zh] 11950/15430  5989s  ETA 29.1m
  [zh] 11975/15430  6002s  ETA 28.9m
  [zh] 12000/15430  6016s  ETA 28.7m
  [zh] 12025/15430  6032s  ETA 28.5m
  [zh] 12050/15430  6043s  ETA 28.3m
  [zh] 12075/15430  6057s  ETA 28.1m
  [zh] 12100/15430  6068s  ETA 27.8m
  [zh] 12125/15430  6079s  ETA 27.6m
  [zh] 12150/15430  6094s  ETA 27.4m
  [zh] 12175/15430  6106s  ETA 27.2m
  [zh] 12200/15430  6119s  ETA 27.0m
  [zh] 12225/15430  6130s  ETA 26.8m
  [zh] 12250/15430  6142s  ETA 26.6m
  [zh] 12275/15430  6155s  ETA 26.4m
  [zh] 12300/15430  6168s  ETA 26.2m
  [zh] 12325/15430  6181s  ETA 26.0m
  [zh] 12350/15430  6192s  ETA 25.7m
  [zh] 12375/15430  6205s  ETA 25.5m
  [zh] 12400/15430  6218s  ETA 25.3m
  [zh] 12425/15430  6229s  ETA 25.1m
  [zh] 12450/15430  6243s  ETA 24.9m
  [zh] 12475/15430  6256s  ETA 24.7m
  [zh] 12500/15430  6269s  ETA 24.5m
  [zh] 12525/15430  6279s  ETA 24.3m
  [zh] 12550/15430  6294s  ETA 24.1m
  [zh] 12575/15430  6308s  ETA 23.9m
  [zh] 12600/15430  6320s  ETA 23.7m
  [zh] 12625/15430  6335s  ETA 23.5m
  [zh] 12650/15430  6346s  ETA 23.2m
  [zh] 12675/15430  6362s  ETA 23.0m
  [zh] 12700/15430  6374s  ETA 22.8m
  [zh] 12725/15430  6384s  ETA 22.6m
  [zh] 12750/15430  6397s  ETA 22.4m
  [zh] 12775/15430  6409s  ETA 22.2m
  [zh] 12800/15430  6420s  ETA 22.0m
  [zh] 12825/15430  6436s  ETA 21.8m
  [zh] 12850/15430  6447s  ETA 21.6m
  [zh] 12875/15430  6462s  ETA 21.4m
  [zh] 12900/15430  6475s  ETA 21.2m
  [zh] 12925/15430  6489s  ETA 21.0m
  [zh] 12950/15430  6502s  ETA 20.8m
  [zh] 12975/15430  6516s  ETA 20.5m
  [zh] 13000/15430  6528s  ETA 20.3m
  [zh] 13025/15430  6541s  ETA 20.1m
  [zh] 13050/15430  6554s  ETA 19.9m
  [zh] 13075/15430  6566s  ETA 19.7m
  [zh] 13100/15430  6582s  ETA 19.5m
  [zh] 13125/15430  6595s  ETA 19.3m
  [zh] 13150/15430  6607s  ETA 19.1m
  [zh] 13175/15430  6620s  ETA 18.9m
  [zh] 13200/15430  6631s  ETA 18.7m
  [zh] 13225/15430  6643s  ETA 18.5m
  [zh] 13250/15430  6656s  ETA 18.3m
  [zh] 13275/15430  6666s  ETA 18.0m
  [zh] 13300/15430  6678s  ETA 17.8m
  [zh] 13325/15430  6691s  ETA 17.6m
  [zh] 13350/15430  6702s  ETA 17.4m
  [zh] 13375/15430  6715s  ETA 17.2m
  [zh] 13400/15430  6726s  ETA 17.0m
  [zh] 13425/15430  6740s  ETA 16.8m
  [zh] 13450/15430  6754s  ETA 16.6m
  [zh] 13475/15430  6768s  ETA 16.4m
  [zh] 13500/15430  6780s  ETA 16.2m
  [zh] 13525/15430  6792s  ETA 15.9m
  [zh] 13550/15430  6805s  ETA 15.7m
  [zh] 13575/15430  6818s  ETA 15.5m
  [zh] 13600/15430  6830s  ETA 15.3m
  [zh] 13625/15430  6842s  ETA 15.1m
  [zh] 13650/15430  6856s  ETA 14.9m
  [zh] 13675/15430  6869s  ETA 14.7m
  [zh] 13700/15430  6882s  ETA 14.5m
  [zh] 13725/15430  6896s  ETA 14.3m
  [zh] 13750/15430  6909s  ETA 14.1m
  [zh] 13775/15430  6920s  ETA 13.9m
  [zh] 13800/15430  6934s  ETA 13.7m
  [zh] 13825/15430  6947s  ETA 13.4m
  [zh] 13850/15430  6962s  ETA 13.2m
  [zh] 13875/15430  6978s  ETA 13.0m
  [zh] 13900/15430  6993s  ETA 12.8m
  [zh] 13925/15430  7005s  ETA 12.6m
  [zh] 13950/15430  7021s  ETA 12.4m
  [zh] 13975/15430  7035s  ETA 12.2m
  [zh] 14000/15430  7048s  ETA 12.0m
  [zh] 14025/15430  7061s  ETA 11.8m
  [zh] 14050/15430  7076s  ETA 11.6m
