[mu_prefix] en→ja, 15430문장
  [ja] 25/15430  43s  ETA 445.4m
  [ja] 2100/15430  2038s  ETA 215.6m
  [ja] 2125/15430  2045s  ETA 213.4m
  [ja] 2150/15430  2051s  ETA 211.1m
  [ja] 2175/15430  2057s  ETA 209.0m
  [ja] 2200/15430  2064s  ETA 206.8m
  [ja] 2225/15430  2072s  ETA 204.9m
  [ja] 2250/15430  2078s  ETA 202.9m
  [ja] 2275/15430  2086s  ETA 201.0m
  [ja] 2300/15430  2093s  ETA 199.1m
  [ja] 2325/15430  2100s  ETA 197.3m
  [ja] 2350/15430  2107s  ETA 195.5m
  [ja] 2375/15430  2115s  ETA 193.8m
  [ja] 2400/15430  2121s  ETA 192.0m
  [ja] 2425/15430  2129s  ETA 190.2m
  [ja] 2450/15430  2136s  ETA 188.6m
  [ja] 2475/15430  2143s  ETA 187.0m
  [ja] 2500/15430  2152s  ETA 185.5m
  [ja] 2525/15430  2161s  ETA 184.1m
  [ja] 2550/15430  2168s  ETA 182.5m
  [ja] 2575/15430  2176s  ETA 181.0m
  [ja] 2600/15430  2182s  ETA 179.5m
  [ja] 2625/15430  2188s  ETA 177.9m
  [ja] 2650/15430  2197s  ETA 176.6m
  [ja] 2675/15430  2206s  ETA 175.3m
  [ja] 2700/15430  2213s  ETA 173.9m
  [ja] 2725/15430  2222s  ETA 172.7m
  [ja] 2750/15430  2229s  ETA 171.3m
  [ja] 2775/15430  2238s  ETA 170.1m
  [ja] 2800/15430  2246s  ETA 168.8m
  [ja] 2825/15430  2253s  ETA 167.5m
  [ja] 2850/15430  2262s  ETA 166.4m
  [ja] 2875/15430  2270s  ETA 165.2m
  [ja] 2900/15430  2278s  ETA 164.0m
  [ja] 2925/15430  2286s  ETA 162.9m
  [ja] 2950/15430  2294s  ETA 161.8m
  [ja] 2975/15430  2303s  ETA 160.7m
  [ja] 3000/15430  2310s  ETA 159.5m
  [ja] 3025/15430  2317s  ETA 158.4m
  [ja] 3050/15430  2325s  ETA 157.3m
  [ja] 3075/15430  2333s  ETA 156.2m
  [ja] 3100/15430  2340s  ETA 155.1m
  [ja] 3125/15430  2348s  ETA 154.1m
  [ja] 3150/15430  2355s  ETA 153.0m
  [ja] 3175/15430  2363s  ETA 152.0m
  [ja] 3200/15430  2371s  ETA 151.0m
  [ja] 3225/15430  2379s  ETA 150.0m
  [ja] 3250/15430  2388s  ETA 149.1m
  [ja] 3275/15430  2394s  ETA 148.1m
  [ja] 3300/15430  2402s  ETA 147.2m
  [ja] 3325/15430  2411s  ETA 146.3m
  [ja] 3350/15430  2418s  ETA 145.3m
  [ja] 3375/15430  2427s  ETA 144.5m
  [ja] 3400/15430  2433s  ETA 143.5m
  [ja] 3425/15430  2442s  ETA 142.7m
  [ja] 3450/15430  2451s  ETA 141.9m
  [ja] 3475/15430  2458s  ETA 141.0m
  [ja] 3500/15430  2467s  ETA 140.1m
  [ja] 3525/15430  2475s  ETA 139.3m
  [ja] 3550/15430  2482s  ETA 138.4m
  [ja] 3575/15430  2490s  ETA 137.6m
  [ja] 3600/15430  2498s  ETA 136.8m
  [ja] 3625/15430  2505s  ETA 136.0m
  [ja] 3650/15430  2512s  ETA 135.1m
  [ja] 3675/15430  2521s  ETA 134.4m
  [ja] 3700/15430  2527s  ETA 133.5m
  [ja] 3725/15430  2533s  ETA 132.7m
  [ja] 3750/15430  2541s  ETA 131.9m
  [ja] 3775/15430  2548s  ETA 131.1m
  [ja] 3800/15430  2553s  ETA 130.2m
  [ja] 3825/15430  2560s  ETA 129.4m
  [ja] 3850/15430  2568s  ETA 128.7m
  [ja] 3875/15430  2578s  ETA 128.1m
  [ja] 3900/15430  2587s  ETA 127.5m
  [ja] 3925/15430  2594s  ETA 126.7m
  [ja] 3950/15430  2602s  ETA 126.0m
  [ja] 3975/15430  2609s  ETA 125.3m
  [ja] 4000/15430  2617s  ETA 124.6m
  [ja] 4025/15430  2625s  ETA 124.0m
  [ja] 4050/15430  2633s  ETA 123.3m
  [ja] 4075/15430  2641s  ETA 122.6m
  [ja] 4100/15430  2648s  ETA 121.9m
  [ja] 4125/15430  2655s  ETA 121.3m
  [ja] 4150/15430  2663s  ETA 120.6m
  [ja] 4175/15430  2672s  ETA 120.0m
  [ja] 4200/15430  2677s  ETA 119.3m
  [ja] 4225/15430  2684s  ETA 118.6m
  [ja] 4250/15430  2694s  ETA 118.1m
  [ja] 4275/15430  2703s  ETA 117.5m
  [ja] 4300/15430  2710s  ETA 116.9m
  [ja] 4325/15430  2717s  ETA 116.3m
  [ja] 4350/15430  2726s  ETA 115.7m
  [ja] 4375/15430  2733s  ETA 115.1m
  [ja] 4400/15430  2739s  ETA 114.5m
  [ja] 4425/15430  2746s  ETA 113.8m
  [ja] 4450/15430  2756s  ETA 113.3m
  [ja] 4475/15430  2763s  ETA 112.7m
  [ja] 4500/15430  2770s  ETA 112.1m
  [ja] 4525/15430  2776s  ETA 111.5m
  [ja] 4550/15430  2785s  ETA 111.0m
  [ja] 4575/15430  2792s  ETA 110.4m
  [ja] 4600/15430  2799s  ETA 109.8m
  [ja] 4625/15430  2806s  ETA 109.2m
  [ja] 4650/15430  2814s  ETA 108.7m
  [ja] 4675/15430  2821s  ETA 108.2m
  [ja] 4700/15430  2829s  ETA 107.6m
  [ja] 4725/15430  2836s  ETA 107.1m
  [ja] 4750/15430  2843s  ETA 106.5m
  [ja] 4775/15430  2850s  ETA 106.0m
  [ja] 4800/15430  2856s  ETA 105.4m
  [ja] 4825/15430  2864s  ETA 104.9m
  [ja] 4850/15430  2870s  ETA 104.3m
  [ja] 4875/15430  2876s  ETA 103.8m
  [ja] 4900/15430  2882s  ETA 103.2m
  [ja] 4925/15430  2889s  ETA 102.7m
  [ja] 4950/15430  2897s  ETA 102.2m
  [ja] 4975/15430  2903s  ETA 101.7m
  [ja] 5000/15430  2909s  ETA 101.1m
  [ja] 5025/15430  2915s  ETA 100.6m
  [ja] 5050/15430  2922s  ETA 100.1m
  [ja] 5075/15430  2928s  ETA 99.6m
  [ja] 5100/15430  2937s  ETA 99.1m
  [ja] 5125/15430  2943s  ETA 98.6m
  [ja] 5150/15430  2951s  ETA 98.2m
  [ja] 5175/15430  2957s  ETA 97.7m
  [ja] 5200/15430  2963s  ETA 97.2m
  [ja] 5225/15430  2970s  ETA 96.7m
  [ja] 5250/15430  2979s  ETA 96.3m
  [ja] 5275/15430  2987s  ETA 95.8m
  [ja] 5300/15430  2994s  ETA 95.4m
  [ja] 5325/15430  3001s  ETA 94.9m
  [ja] 5350/15430  3007s  ETA 94.4m
  [ja] 5375/15430  3014s  ETA 94.0m
  [ja] 5400/15430  3020s  ETA 93.5m
  [ja] 5425/15430  3028s  ETA 93.1m
  [ja] 5450/15430  3034s  ETA 92.6m
  [ja] 5475/15430  3041s  ETA 92.2m
  [ja] 5500/15430  3048s  ETA 91.7m
  [ja] 5525/15430  3055s  ETA 91.3m
  [ja] 5550/15430  3063s  ETA 90.9m
  [ja] 5575/15430  3070s  ETA 90.4m
  [ja] 5600/15430  3077s  ETA 90.0m
  [ja] 5625/15430  3084s  ETA 89.6m
  [ja] 5650/15430  3090s  ETA 89.1m
  [ja] 5675/15430  3096s  ETA 88.7m
  [ja] 5700/15430  3104s  ETA 88.3m
  [ja] 5725/15430  3110s  ETA 87.9m
  [ja] 5750/15430  3117s  ETA 87.5m
  [ja] 5775/15430  3124s  ETA 87.0m
  [ja] 5800/15430  3131s  ETA 86.6m
  [ja] 5825/15430  3139s  ETA 86.3m
  [ja] 5850/15430  3146s  ETA 85.9m
  [ja] 5875/15430  3151s  ETA 85.4m
  [ja] 5900/15430  3157s  ETA 85.0m
  [ja] 5925/15430  3164s  ETA 84.6m
  [ja] 5950/15430  3171s  ETA 84.2m
  [ja] 5975/15430  3178s  ETA 83.8m
  [ja] 6000/15430  3186s  ETA 83.4m
  [ja] 6025/15430  3192s  ETA 83.1m
  [ja] 6050/15430  3199s  ETA 82.7m
  [ja] 6075/15430  3206s  ETA 82.3m
  [ja] 6100/15430  3212s  ETA 81.9m
  [ja] 6125/15430  3219s  ETA 81.5m
  [ja] 6150/15430  3226s  ETA 81.1m
  [ja] 6175/15430  3235s  ETA 80.8m
  [ja] 6200/15430  3241s  ETA 80.4m
  [ja] 6225/15430  3248s  ETA 80.0m
  [ja] 6250/15430  3255s  ETA 79.7m
  [ja] 6275/15430  3262s  ETA 79.3m
  [ja] 6300/15430  3268s  ETA 78.9m
  [ja] 6325/15430  3275s  ETA 78.6m
  [ja] 6350/15430  3282s  ETA 78.2m
  [ja] 6375/15430  3290s  ETA 77.9m
  [ja] 6400/15430  3297s  ETA 77.5m
  [ja] 6425/15430  3304s  ETA 77.2m
  [ja] 6450/15430  3311s  ETA 76.8m
  [ja] 6475/15430  3318s  ETA 76.5m
  [ja] 6500/15430  3325s  ETA 76.1m
  [ja] 6525/15430  3333s  ETA 75.8m
  [ja] 6550/15430  3339s  ETA 75.4m
  [ja] 6575/15430  3347s  ETA 75.1m
  [ja] 6600/15430  3355s  ETA 74.8m
  [ja] 6625/15430  3361s  ETA 74.5m
  [ja] 6650/15430  3367s  ETA 74.1m
  [ja] 6675/15430  3374s  ETA 73.8m
  [ja] 6700/15430  3383s  ETA 73.5m
  [ja] 6725/15430  3389s  ETA 73.1m
  [ja] 6750/15430  3395s  ETA 72.8m
  [ja] 6775/15430  3403s  ETA 72.5m
  [ja] 6800/15430  3412s  ETA 72.2m
  [ja] 6825/15430  3420s  ETA 71.9m
  [ja] 6850/15430  3427s  ETA 71.5m
  [ja] 6875/15430  3434s  ETA 71.2m
  [ja] 6900/15430  3441s  ETA 70.9m
  [ja] 6925/15430  3449s  ETA 70.6m
  [ja] 6950/15430  3455s  ETA 70.3m
  [ja] 6975/15430  3463s  ETA 70.0m
  [ja] 7000/15430  3469s  ETA 69.6m
  [ja] 7025/15430  3476s  ETA 69.3m
  [ja] 7050/15430  3483s  ETA 69.0m
  [ja] 7075/15430  3490s  ETA 68.7m
  [ja] 7100/15430  3497s  ETA 68.4m
  [ja] 7125/15430  3506s  ETA 68.1m
  [ja] 7150/15430  3513s  ETA 67.8m
  [ja] 7175/15430  3520s  ETA 67.5m
  [ja] 7200/15430  3527s  ETA 67.2m
  [ja] 7225/15430  3533s  ETA 66.9m
  [ja] 7250/15430  3540s  ETA 66.6m
  [ja] 7275/15430  3548s  ETA 66.3m
  [ja] 7300/15430  3554s  ETA 66.0m
  [ja] 7325/15430  3560s  ETA 65.7m
  [ja] 7350/15430  3568s  ETA 65.4m
  [ja] 7375/15430  3575s  ETA 65.1m
  [ja] 7400/15430  3582s  ETA 64.8m
  [ja] 7425/15430  3590s  ETA 64.5m
  [ja] 7450/15430  3597s  ETA 64.2m
  [ja] 7475/15430  3604s  ETA 63.9m
  [ja] 7500/15430  3610s  ETA 63.6m
  [ja] 7525/15430  3617s  ETA 63.3m
  [ja] 7550/15430  3624s  ETA 63.0m
  [ja] 7575/15430  3631s  ETA 62.8m
  [ja] 7600/15430  3638s  ETA 62.5m
  [ja] 7625/15430  3645s  ETA 62.2m
  [ja] 7650/15430  3650s  ETA 61.9m
  [ja] 7675/15430  3658s  ETA 61.6m
  [ja] 7700/15430  3665s  ETA 61.3m
  [ja] 7725/15430  3671s  ETA 61.0m
  [ja] 7750/15430  3678s  ETA 60.8m
  [ja] 7775/15430  3684s  ETA 60.5m
  [ja] 7800/15430  3690s  ETA 60.2m
  [ja] 7825/15430  3699s  ETA 59.9m
  [ja] 7850/15430  3706s  ETA 59.6m
  [ja] 7875/15430  3714s  ETA 59.4m
  [ja] 7900/15430  3722s  ETA 59.1m
  [ja] 7925/15430  3730s  ETA 58.9m
  [ja] 7950/15430  3737s  ETA 58.6m
  [ja] 7975/15430  3744s  ETA 58.3m
  [ja] 8000/15430  3750s  ETA 58.0m
  [ja] 8025/15430  3758s  ETA 57.8m
  [ja] 8050/15430  3765s  ETA 57.5m
  [ja] 8075/15430  3772s  ETA 57.3m
  [ja] 8100/15430  3779s  ETA 57.0m
  [ja] 8125/15430  3787s  ETA 56.7m
  [ja] 8150/15430  3794s  ETA 56.5m
  [ja] 8175/15430  3803s  ETA 56.2m
  [ja] 8200/15430  3809s  ETA 56.0m
  [ja] 8225/15430  3816s  ETA 55.7m
  [ja] 8250/15430  3823s  ETA 55.4m
  [ja] 8275/15430  3831s  ETA 55.2m
  [ja] 8300/15430  3839s  ETA 55.0m
  [ja] 8325/15430  3847s  ETA 54.7m
  [ja] 8350/15430  3855s  ETA 54.5m
  [ja] 8375/15430  3861s  ETA 54.2m
  [ja] 8400/15430  3868s  ETA 54.0m
  [ja] 8425/15430  3875s  ETA 53.7m
  [ja] 8450/15430  3881s  ETA 53.4m
  [ja] 8475/15430  3889s  ETA 53.2m
  [ja] 8500/15430  3896s  ETA 52.9m
  [ja] 8525/15430  3905s  ETA 52.7m
  [ja] 8550/15430  3914s  ETA 52.5m
  [ja] 8575/15430  3921s  ETA 52.2m
  [ja] 8600/15430  3928s  ETA 52.0m
  [ja] 8625/15430  3937s  ETA 51.8m
  [ja] 8650/15430  3945s  ETA 51.5m
  [ja] 8675/15430  3952s  ETA 51.3m
  [ja] 8700/15430  3959s  ETA 51.0m
  [ja] 8725/15430  3967s  ETA 50.8m
  [ja] 8750/15430  3975s  ETA 50.6m
  [ja] 8775/15430  3982s  ETA 50.3m
  [ja] 8800/15430  3990s  ETA 50.1m
  [ja] 8825/15430  3998s  ETA 49.9m
  [ja] 8850/15430  4005s  ETA 49.6m
  [ja] 8875/15430  4013s  ETA 49.4m
  [ja] 8900/15430  4019s  ETA 49.1m
  [ja] 8925/15430  4028s  ETA 48.9m
  [ja] 8950/15430  4034s  ETA 48.7m
  [ja] 8975/15430  4042s  ETA 48.5m
  [ja] 9000/15430  4049s  ETA 48.2m
  [ja] 9025/15430  4056s  ETA 48.0m
  [ja] 9050/15430  4063s  ETA 47.7m
  [ja] 9075/15430  4069s  ETA 47.5m
  [ja] 9100/15430  4077s  ETA 47.3m
  [ja] 9125/15430  4084s  ETA 47.0m
  [ja] 9150/15430  4091s  ETA 46.8m
  [ja] 9175/15430  4098s  ETA 46.6m
  [ja] 9200/15430  4107s  ETA 46.3m
  [ja] 9225/15430  4112s  ETA 46.1m
  [ja] 9250/15430  4120s  ETA 45.9m
  [ja] 9275/15430  4128s  ETA 45.7m
  [ja] 9300/15430  4136s  ETA 45.4m
  [ja] 9325/15430  4143s  ETA 45.2m
  [ja] 9350/15430  4149s  ETA 45.0m
  [ja] 9375/15430  4154s  ETA 44.7m
  [ja] 9400/15430  4163s  ETA 44.5m
  [ja] 9425/15430  4170s  ETA 44.3m
  [ja] 9450/15430  4177s  ETA 44.1m
  [ja] 9475/15430  4183s  ETA 43.8m
  [ja] 9500/15430  4190s  ETA 43.6m
  [ja] 9525/15430  4196s  ETA 43.4m
  [ja] 9550/15430  4203s  ETA 43.1m
  [ja] 9575/15430  4209s  ETA 42.9m
  [ja] 9600/15430  4217s  ETA 42.7m
  [ja] 9625/15430  4224s  ETA 42.5m
  [ja] 9650/15430  4232s  ETA 42.2m
  [ja] 9675/15430  4240s  ETA 42.0m
  [ja] 9700/15430  4247s  ETA 41.8m
  [ja] 9725/15430  4254s  ETA 41.6m
  [ja] 9750/15430  4261s  ETA 41.4m
  [ja] 9775/15430  4269s  ETA 41.2m
  [ja] 9800/15430  4276s  ETA 40.9m
  [ja] 9825/15430  4282s  ETA 40.7m
  [ja] 9850/15430  4290s  ETA 40.5m
  [ja] 9875/15430  4295s  ETA 40.3m
  [ja] 9900/15430  4302s  ETA 40.0m
  [ja] 9925/15430  4309s  ETA 39.8m
  [ja] 9950/15430  4316s  ETA 39.6m
  [ja] 9975/15430  4322s  ETA 39.4m
  [ja] 10000/15430  4330s  ETA 39.2m
  [ja] 10025/15430  4337s  ETA 39.0m
  [ja] 10050/15430  4346s  ETA 38.8m
  [ja] 10075/15430  4354s  ETA 38.6m
  [ja] 10100/15430  4361s  ETA 38.4m
  [ja] 10125/15430  4369s  ETA 38.2m
  [ja] 10150/15430  4376s  ETA 37.9m
  [ja] 10175/15430  4385s  ETA 37.7m
  [ja] 10200/15430  4392s  ETA 37.5m
  [ja] 10225/15430  4398s  ETA 37.3m
  [ja] 10250/15430  4407s  ETA 37.1m
  [ja] 10275/15430  4416s  ETA 36.9m
  [ja] 10300/15430  4422s  ETA 36.7m
  [ja] 10325/15430  4429s  ETA 36.5m
  [ja] 10350/15430  4438s  ETA 36.3m
  [ja] 10375/15430  4443s  ETA 36.1m
  [ja] 10400/15430  4451s  ETA 35.9m
  [ja] 10425/15430  4458s  ETA 35.7m
  [ja] 10450/15430  4465s  ETA 35.5m
  [ja] 10475/15430  4473s  ETA 35.3m
  [ja] 10500/15430  4482s  ETA 35.1m
  [ja] 10525/15430  4487s  ETA 34.9m
  [ja] 10550/15430  4494s  ETA 34.6m
  [ja] 10575/15430  4502s  ETA 34.4m
  [ja] 10600/15430  4510s  ETA 34.3m
  [ja] 10625/15430  4518s  ETA 34.0m
  [ja] 10650/15430  4525s  ETA 33.8m
  [ja] 10675/15430  4531s  ETA 33.6m
  [ja] 10700/15430  4539s  ETA 33.4m
  [ja] 10725/15430  4546s  ETA 33.2m
  [ja] 10750/15430  4552s  ETA 33.0m
  [ja] 10775/15430  4559s  ETA 32.8m
  [ja] 10800/15430  4567s  ETA 32.6m
  [ja] 10825/15430  4574s  ETA 32.4m
  [ja] 10850/15430  4583s  ETA 32.2m
  [ja] 10875/15430  4591s  ETA 32.1m
  [ja] 10900/15430  4598s  ETA 31.8m
  [ja] 10925/15430  4605s  ETA 31.6m
  [ja] 10950/15430  4611s  ETA 31.4m
  [ja] 10975/15430  4618s  ETA 31.2m
  [ja] 11000/15430  4625s  ETA 31.0m
  [ja] 11025/15430  4632s  ETA 30.8m
  [ja] 11050/15430  4639s  ETA 30.6m
  [ja] 11075/15430  4646s  ETA 30.5m
  [ja] 11100/15430  4654s  ETA 30.3m
  [ja] 11125/15430  4660s  ETA 30.1m
  [ja] 11150/15430  4668s  ETA 29.9m
  [ja] 11175/15430  4675s  ETA 29.7m
  [ja] 11200/15430  4681s  ETA 29.5m
  [ja] 11225/15430  4689s  ETA 29.3m
  [ja] 11250/15430  4697s  ETA 29.1m
  [ja] 11275/15430  4704s  ETA 28.9m
  [ja] 11300/15430  4712s  ETA 28.7m
  [ja] 11325/15430  4720s  ETA 28.5m
  [ja] 11350/15430  4726s  ETA 28.3m
  [ja] 11375/15430  4733s  ETA 28.1m
  [ja] 11400/15430  4740s  ETA 27.9m
  [ja] 11425/15430  4747s  ETA 27.7m
  [ja] 11450/15430  4753s  ETA 27.5m
  [ja] 11475/15430  4760s  ETA 27.3m
  [ja] 11500/15430  4767s  ETA 27.1m
  [ja] 11525/15430  4774s  ETA 27.0m
  [ja] 11550/15430  4781s  ETA 26.8m
  [ja] 11575/15430  4791s  ETA 26.6m
  [ja] 11600/15430  4798s  ETA 26.4m
  [ja] 11625/15430  4805s  ETA 26.2m
  [ja] 11650/15430  4812s  ETA 26.0m
  [ja] 11675/15430  4819s  ETA 25.8m
  [ja] 11700/15430  4826s  ETA 25.6m
  [ja] 11725/15430  4832s  ETA 25.4m
  [ja] 11750/15430  4838s  ETA 25.3m
  [ja] 11775/15430  4846s  ETA 25.1m
  [ja] 11800/15430  4854s  ETA 24.9m
  [ja] 11825/15430  4860s  ETA 24.7m
  [ja] 11850/15430  4867s  ETA 24.5m
  [ja] 11875/15430  4874s  ETA 24.3m
  [ja] 11900/15430  4881s  ETA 24.1m
  [ja] 11925/15430  4888s  ETA 23.9m
  [ja] 11950/15430  4894s  ETA 23.8m
  [ja] 11975/15430  4902s  ETA 23.6m
  [ja] 12000/15430  4910s  ETA 23.4m
  [ja] 12025/15430  4918s  ETA 23.2m
  [ja] 12050/15430  4926s  ETA 23.0m
  [ja] 12075/15430  4933s  ETA 22.8m
  [ja] 12100/15430  4939s  ETA 22.7m
  [ja] 12125/15430  4945s  ETA 22.5m
  [ja] 12150/15430  4952s  ETA 22.3m
  [ja] 12175/15430  4960s  ETA 22.1m
  [ja] 12200/15430  4967s  ETA 21.9m
  [ja] 12225/15430  4974s  ETA 21.7m
  [ja] 12250/15430  4980s  ETA 21.5m
  [ja] 12275/15430  4989s  ETA 21.4m
  [ja] 12300/15430  4996s  ETA 21.2m
  [ja] 12325/15430  5004s  ETA 21.0m
  [ja] 12350/15430  5010s  ETA 20.8m
  [ja] 12375/15430  5017s  ETA 20.6m
  [ja] 12400/15430  5024s  ETA 20.5m
  [ja] 12425/15430  5030s  ETA 20.3m
  [ja] 12450/15430  5039s  ETA 20.1m
  [ja] 12475/15430  5048s  ETA 19.9m
  [ja] 12500/15430  5055s  ETA 19.7m
  [ja] 12525/15430  5061s  ETA 19.6m
  [ja] 12550/15430  5069s  ETA 19.4m
  [ja] 12575/15430  5076s  ETA 19.2m
  [ja] 12600/15430  5083s  ETA 19.0m
  [ja] 12625/15430  5094s  ETA 18.9m
  [ja] 12650/15430  5099s  ETA 18.7m
  [ja] 12675/15430  5107s  ETA 18.5m
  [ja] 12700/15430  5114s  ETA 18.3m
  [ja] 12725/15430  5121s  ETA 18.1m
  [ja] 12750/15430  5129s  ETA 18.0m
  [ja] 12775/15430  5136s  ETA 17.8m
  [ja] 12800/15430  5143s  ETA 17.6m
  [ja] 12825/15430  5153s  ETA 17.4m
  [ja] 12850/15430  5159s  ETA 17.3m
  [ja] 12875/15430  5167s  ETA 17.1m
  [ja] 12900/15430  5175s  ETA 16.9m
  [ja] 12925/15430  5181s  ETA 16.7m
  [ja] 12950/15430  5190s  ETA 16.6m
  [ja] 12975/15430  5197s  ETA 16.4m
  [ja] 13000/15430  5204s  ETA 16.2m
  [ja] 13025/15430  5212s  ETA 16.0m
  [ja] 13050/15430  5218s  ETA 15.9m
  [ja] 13075/15430  5224s  ETA 15.7m
  [ja] 13100/15430  5233s  ETA 15.5m
  [ja] 13125/15430  5240s  ETA 15.3m
  [ja] 13150/15430  5247s  ETA 15.2m
  [ja] 13175/15430  5255s  ETA 15.0m
  [ja] 13200/15430  5261s  ETA 14.8m
  [ja] 13225/15430  5268s  ETA 14.6m
  [ja] 13250/15430  5275s  ETA 14.5m
  [ja] 13275/15430  5282s  ETA 14.3m
  [ja] 13300/15430  5289s  ETA 14.1m
  [ja] 13325/15430  5296s  ETA 13.9m
  [ja] 13350/15430  5302s  ETA 13.8m
  [ja] 13375/15430  5310s  ETA 13.6m
  [ja] 13400/15430  5317s  ETA 13.4m
  [ja] 13425/15430  5324s  ETA 13.3m
  [ja] 13450/15430  5332s  ETA 13.1m
  [ja] 13475/15430  5340s  ETA 12.9m
  [ja] 13500/15430  5346s  ETA 12.7m
  [ja] 13525/15430  5353s  ETA 12.6m
  [ja] 13550/15430  5361s  ETA 12.4m
  [ja] 13575/15430  5367s  ETA 12.2m
  [ja] 13600/15430  5375s  ETA 12.1m
  [ja] 13625/15430  5380s  ETA 11.9m
  [ja] 13650/15430  5388s  ETA 11.7m
  [ja] 13675/15430  5395s  ETA 11.5m
  [ja] 13700/15430  5402s  ETA 11.4m
  [ja] 13725/15430  5411s  ETA 11.2m
  [ja] 13750/15430  5419s  ETA 11.0m
  [ja] 13775/15430  5426s  ETA 10.9m
  [ja] 13800/15430  5434s  ETA 10.7m
  [ja] 13825/15430  5440s  ETA 10.5m
  [ja] 13850/15430  5449s  ETA 10.4m
  [ja] 13875/15430  5458s  ETA 10.2m
  [ja] 13900/15430  5466s  ETA 10.0m
  [ja] 13925/15430  5474s  ETA 9.9m
  [ja] 13950/15430  5482s  ETA 9.7m
  [ja] 13975/15430  5490s  ETA 9.5m
  [ja] 14000/15430  5497s  ETA 9.4m
