[alignatt] en→ja, 15430문장
  [ja] 25/15430  14s  ETA 144.5m
  [ja] 5850/15430  1946s  ETA 53.1m
  [ja] 5875/15430  1952s  ETA 52.9m
  [ja] 5900/15430  1960s  ETA 52.8m
  [ja] 5925/15430  1968s  ETA 52.6m
  [ja] 5950/15430  1976s  ETA 52.5m
  [ja] 5975/15430  1985s  ETA 52.4m
  [ja] 6000/15430  1993s  ETA 52.2m
  [ja] 6025/15430  2002s  ETA 52.1m
  [ja] 6050/15430  2009s  ETA 51.9m
  [ja] 6075/15430  2018s  ETA 51.8m
  [ja] 6100/15430  2024s  ETA 51.6m
  [ja] 6125/15430  2032s  ETA 51.5m
  [ja] 6150/15430  2041s  ETA 51.3m
  [ja] 6175/15430  2051s  ETA 51.2m
  [ja] 6200/15430  2060s  ETA 51.1m
  [ja] 6225/15430  2067s  ETA 51.0m
  [ja] 6250/15430  2078s  ETA 50.9m
  [ja] 6275/15430  2086s  ETA 50.7m
  [ja] 6300/15430  2094s  ETA 50.6m
  [ja] 6325/15430  2103s  ETA 50.5m
  [ja] 6350/15430  2111s  ETA 50.3m
  [ja] 6375/15430  2120s  ETA 50.2m
  [ja] 6400/15430  2127s  ETA 50.0m
  [ja] 6425/15430  2137s  ETA 49.9m
  [ja] 6450/15430  2145s  ETA 49.8m
  [ja] 6475/15430  2154s  ETA 49.6m
  [ja] 6500/15430  2162s  ETA 49.5m
  [ja] 6525/15430  2171s  ETA 49.4m
  [ja] 6550/15430  2178s  ETA 49.2m
  [ja] 6575/15430  2188s  ETA 49.1m
  [ja] 6600/15430  2197s  ETA 49.0m
  [ja] 6625/15430  2210s  ETA 49.0m
  [ja] 6650/15430  2218s  ETA 48.8m
  [ja] 6675/15430  2227s  ETA 48.7m
  [ja] 6700/15430  2237s  ETA 48.6m
  [ja] 6725/15430  2246s  ETA 48.5m
  [ja] 6750/15430  2254s  ETA 48.3m
  [ja] 6775/15430  2264s  ETA 48.2m
  [ja] 6800/15430  2274s  ETA 48.1m
  [ja] 6825/15430  2283s  ETA 48.0m
  [ja] 6850/15430  2291s  ETA 47.8m
  [ja] 6875/15430  2299s  ETA 47.7m
  [ja] 6900/15430  2307s  ETA 47.5m
  [ja] 6925/15430  2316s  ETA 47.4m
  [ja] 6950/15430  2325s  ETA 47.3m
  [ja] 6975/15430  2334s  ETA 47.1m
  [ja] 7000/15430  2341s  ETA 47.0m
  [ja] 7025/15430  2350s  ETA 46.9m
  [ja] 7050/15430  2358s  ETA 46.7m
  [ja] 7075/15430  2367s  ETA 46.6m
  [ja] 7100/15430  2377s  ETA 46.5m
  [ja] 7125/15430  2385s  ETA 46.3m
  [ja] 7150/15430  2394s  ETA 46.2m
  [ja] 7175/15430  2403s  ETA 46.1m
  [ja] 7200/15430  2410s  ETA 45.9m
  [ja] 7225/15430  2418s  ETA 45.8m
  [ja] 7250/15430  2426s  ETA 45.6m
  [ja] 7275/15430  2436s  ETA 45.5m
  [ja] 7300/15430  2444s  ETA 45.4m
  [ja] 7325/15430  2452s  ETA 45.2m
  [ja] 7350/15430  2461s  ETA 45.1m
  [ja] 7375/15430  2470s  ETA 45.0m
  [ja] 7400/15430  2478s  ETA 44.8m
  [ja] 7425/15430  2488s  ETA 44.7m
  [ja] 7450/15430  2496s  ETA 44.6m
  [ja] 7475/15430  2505s  ETA 44.4m
  [ja] 7500/15430  2512s  ETA 44.3m
  [ja] 7525/15430  2521s  ETA 44.1m
  [ja] 7550/15430  2531s  ETA 44.0m
  [ja] 7575/15430  2539s  ETA 43.9m
  [ja] 7600/15430  2547s  ETA 43.7m
  [ja] 7625/15430  2555s  ETA 43.6m
  [ja] 7650/15430  2562s  ETA 43.4m
  [ja] 7675/15430  2571s  ETA 43.3m
  [ja] 7700/15430  2579s  ETA 43.1m
  [ja] 7725/15430  2585s  ETA 43.0m
  [ja] 7750/15430  2594s  ETA 42.8m
  [ja] 7775/15430  2603s  ETA 42.7m
  [ja] 7800/15430  2610s  ETA 42.6m
  [ja] 7825/15430  2619s  ETA 42.4m
  [ja] 7850/15430  2628s  ETA 42.3m
  [ja] 7875/15430  2638s  ETA 42.2m
  [ja] 7900/15430  2647s  ETA 42.0m
  [ja] 7925/15430  2656s  ETA 41.9m
  [ja] 7950/15430  2665s  ETA 41.8m
  [ja] 7975/15430  2673s  ETA 41.6m
  [ja] 8000/15430  2680s  ETA 41.5m
  [ja] 8025/15430  2691s  ETA 41.4m
  [ja] 8050/15430  2699s  ETA 41.2m
  [ja] 8075/15430  2707s  ETA 41.1m
  [ja] 8100/15430  2715s  ETA 41.0m
  [ja] 8125/15430  2725s  ETA 40.8m
  [ja] 8150/15430  2733s  ETA 40.7m
  [ja] 8175/15430  2742s  ETA 40.6m
  [ja] 8200/15430  2751s  ETA 40.4m
  [ja] 8225/15430  2760s  ETA 40.3m
  [ja] 8250/15430  2768s  ETA 40.1m
  [ja] 8275/15430  2777s  ETA 40.0m
  [ja] 8300/15430  2786s  ETA 39.9m
  [ja] 8325/15430  2795s  ETA 39.8m
  [ja] 8350/15430  2804s  ETA 39.6m
  [ja] 8375/15430  2812s  ETA 39.5m
  [ja] 8400/15430  2821s  ETA 39.3m
  [ja] 8425/15430  2829s  ETA 39.2m
  [ja] 8450/15430  2836s  ETA 39.0m
  [ja] 8475/15430  2845s  ETA 38.9m
  [ja] 8500/15430  2854s  ETA 38.8m
  [ja] 8525/15430  2864s  ETA 38.7m
  [ja] 8550/15430  2874s  ETA 38.5m
  [ja] 8575/15430  2883s  ETA 38.4m
  [ja] 8600/15430  2892s  ETA 38.3m
  [ja] 8625/15430  2903s  ETA 38.2m
  [ja] 8650/15430  2912s  ETA 38.0m
  [ja] 8675/15430  2921s  ETA 37.9m
  [ja] 8700/15430  2930s  ETA 37.8m
  [ja] 8725/15430  2939s  ETA 37.6m
  [ja] 8750/15430  2948s  ETA 37.5m
  [ja] 8775/15430  2956s  ETA 37.4m
  [ja] 8800/15430  2966s  ETA 37.2m
  [ja] 8825/15430  2976s  ETA 37.1m
  [ja] 8850/15430  2984s  ETA 37.0m
  [ja] 8875/15430  2994s  ETA 36.9m
  [ja] 8900/15430  3001s  ETA 36.7m
  [ja] 8925/15430  3012s  ETA 36.6m
  [ja] 8950/15430  3020s  ETA 36.4m
  [ja] 8975/15430  3030s  ETA 36.3m
  [ja] 9000/15430  3038s  ETA 36.2m
  [ja] 9025/15430  3046s  ETA 36.0m
  [ja] 9050/15430  3054s  ETA 35.9m
  [ja] 9075/15430  3062s  ETA 35.7m
  [ja] 9100/15430  3070s  ETA 35.6m
  [ja] 9125/15430  3079s  ETA 35.5m
  [ja] 9150/15430  3087s  ETA 35.3m
  [ja] 9175/15430  3096s  ETA 35.2m
  [ja] 9200/15430  3105s  ETA 35.0m
  [ja] 9225/15430  3112s  ETA 34.9m
  [ja] 9250/15430  3120s  ETA 34.7m
  [ja] 9275/15430  3131s  ETA 34.6m
  [ja] 9300/15430  3140s  ETA 34.5m
  [ja] 9325/15430  3149s  ETA 34.4m
  [ja] 9350/15430  3156s  ETA 34.2m
  [ja] 9375/15430  3163s  ETA 34.0m
  [ja] 9400/15430  3172s  ETA 33.9m
  [ja] 9425/15430  3181s  ETA 33.8m
  [ja] 9450/15430  3190s  ETA 33.6m
  [ja] 9475/15430  3197s  ETA 33.5m
  [ja] 9500/15430  3206s  ETA 33.4m
  [ja] 9525/15430  3213s  ETA 33.2m
  [ja] 9550/15430  3221s  ETA 33.0m
  [ja] 9575/15430  3228s  ETA 32.9m
  [ja] 9600/15430  3238s  ETA 32.8m
  [ja] 9625/15430  3246s  ETA 32.6m
  [ja] 9650/15430  3256s  ETA 32.5m
  [ja] 9675/15430  3265s  ETA 32.4m
  [ja] 9700/15430  3274s  ETA 32.2m
  [ja] 9725/15430  3283s  ETA 32.1m
  [ja] 9750/15430  3293s  ETA 32.0m
  [ja] 9775/15430  3304s  ETA 31.9m
  [ja] 9800/15430  3313s  ETA 31.7m
  [ja] 9825/15430  3320s  ETA 31.6m
  [ja] 9850/15430  3329s  ETA 31.4m
  [ja] 9875/15430  3337s  ETA 31.3m
  [ja] 9900/15430  3346s  ETA 31.1m
  [ja] 9925/15430  3355s  ETA 31.0m
  [ja] 9950/15430  3363s  ETA 30.9m
  [ja] 9975/15430  3371s  ETA 30.7m
  [ja] 10000/15430  3381s  ETA 30.6m
  [ja] 10025/15430  3389s  ETA 30.5m
  [ja] 10050/15430  3399s  ETA 30.3m
  [ja] 10075/15430  3408s  ETA 30.2m
  [ja] 10100/15430  3418s  ETA 30.1m
  [ja] 10125/15430  3432s  ETA 30.0m
  [ja] 10150/15430  3441s  ETA 29.8m
  [ja] 10175/15430  3452s  ETA 29.7m
  [ja] 10200/15430  3460s  ETA 29.6m
  [ja] 10225/15430  3468s  ETA 29.4m
  [ja] 10250/15430  3478s  ETA 29.3m
  [ja] 10275/15430  3488s  ETA 29.2m
  [ja] 10300/15430  3495s  ETA 29.0m
  [ja] 10325/15430  3504s  ETA 28.9m
  [ja] 10350/15430  3513s  ETA 28.7m
  [ja] 10375/15430  3520s  ETA 28.6m
  [ja] 10400/15430  3530s  ETA 28.5m
  [ja] 10425/15430  3538s  ETA 28.3m
  [ja] 10450/15430  3546s  ETA 28.2m
  [ja] 10475/15430  3555s  ETA 28.0m
  [ja] 10500/15430  3564s  ETA 27.9m
  [ja] 10525/15430  3571s  ETA 27.7m
  [ja] 10550/15430  3580s  ETA 27.6m
  [ja] 10575/15430  3588s  ETA 27.5m
  [ja] 10600/15430  3598s  ETA 27.3m
  [ja] 10625/15430  3608s  ETA 27.2m
  [ja] 10650/15430  3616s  ETA 27.1m
  [ja] 10675/15430  3624s  ETA 26.9m
  [ja] 10700/15430  3633s  ETA 26.8m
  [ja] 10725/15430  3642s  ETA 26.6m
  [ja] 10750/15430  3649s  ETA 26.5m
  [ja] 10775/15430  3657s  ETA 26.3m
  [ja] 10800/15430  3666s  ETA 26.2m
  [ja] 10825/15430  3674s  ETA 26.0m
  [ja] 10850/15430  3683s  ETA 25.9m
  [ja] 10875/15430  3693s  ETA 25.8m
  [ja] 10900/15430  3702s  ETA 25.6m
  [ja] 10925/15430  3710s  ETA 25.5m
  [ja] 10950/15430  3717s  ETA 25.3m
  [ja] 10975/15430  3726s  ETA 25.2m
  [ja] 11000/15430  3734s  ETA 25.1m
  [ja] 11025/15430  3742s  ETA 24.9m
  [ja] 11050/15430  3751s  ETA 24.8m
  [ja] 11075/15430  3760s  ETA 24.6m
  [ja] 11100/15430  3768s  ETA 24.5m
  [ja] 11125/15430  3776s  ETA 24.4m
  [ja] 11150/15430  3785s  ETA 24.2m
  [ja] 11175/15430  3793s  ETA 24.1m
  [ja] 11200/15430  3801s  ETA 23.9m
  [ja] 11225/15430  3811s  ETA 23.8m
  [ja] 11250/15430  3822s  ETA 23.7m
  [ja] 11275/15430  3830s  ETA 23.5m
  [ja] 11300/15430  3839s  ETA 23.4m
  [ja] 11325/15430  3849s  ETA 23.3m
  [ja] 11350/15430  3857s  ETA 23.1m
  [ja] 11375/15430  3866s  ETA 23.0m
  [ja] 11400/15430  3874s  ETA 22.8m
  [ja] 11425/15430  3884s  ETA 22.7m
  [ja] 11450/15430  3892s  ETA 22.5m
  [ja] 11475/15430  3900s  ETA 22.4m
  [ja] 11500/15430  3909s  ETA 22.3m
  [ja] 11525/15430  3918s  ETA 22.1m
  [ja] 11550/15430  3927s  ETA 22.0m
  [ja] 11575/15430  3936s  ETA 21.9m
  [ja] 11600/15430  3945s  ETA 21.7m
  [ja] 11625/15430  3954s  ETA 21.6m
  [ja] 11650/15430  3963s  ETA 21.4m
  [ja] 11675/15430  3973s  ETA 21.3m
  [ja] 11700/15430  3982s  ETA 21.2m
  [ja] 11725/15430  3989s  ETA 21.0m
  [ja] 11750/15430  3997s  ETA 20.9m
  [ja] 11775/15430  4007s  ETA 20.7m
  [ja] 11800/15430  4016s  ETA 20.6m
  [ja] 11825/15430  4023s  ETA 20.4m
  [ja] 11850/15430  4032s  ETA 20.3m
  [ja] 11875/15430  4041s  ETA 20.2m
  [ja] 11900/15430  4050s  ETA 20.0m
  [ja] 11925/15430  4058s  ETA 19.9m
  [ja] 11950/15430  4066s  ETA 19.7m
  [ja] 11975/15430  4075s  ETA 19.6m
  [ja] 12000/15430  4085s  ETA 19.5m
  [ja] 12025/15430  4093s  ETA 19.3m
  [ja] 12050/15430  4102s  ETA 19.2m
  [ja] 12075/15430  4111s  ETA 19.0m
  [ja] 12100/15430  4118s  ETA 18.9m
  [ja] 12125/15430  4126s  ETA 18.7m
  [ja] 12150/15430  4135s  ETA 18.6m
  [ja] 12175/15430  4144s  ETA 18.5m
Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/mobility/STiTy/core/meaning_segmentator/autoseg/baselines/build.py", line 171, in <module>
    sys.exit(main())
  File "/home/mobility/STiTy/core/meaning_segmentator/autoseg/baselines/build.py", line 157, in main
    res = run_policy(args.policy, rows, tgt if tgt != "all" else "de", args)
  File "/home/mobility/STiTy/core/meaning_segmentator/autoseg/baselines/build.py", line 106, in run_policy
    out.append({**r, "pieces": alignatt.segment(nmt, r["text"], args.f)})
  File "/home/mobility/STiTy/core/meaning_segmentator/autoseg/baselines/alignatt.py", line 32, in segment
    emitted = nmt.emit_with_alignment(" ".join(words[:t]), forced or None)
  File "/home/mobility/STiTy/.venv-autoseg/lib/python3.10/site-packages/torch/utils/_contextlib.py", line 124, in decorate_context
    return func(*args, **kwargs)
  File "/home/mobility/STiTy/core/meaning_segmentator/autoseg/baselines/nmt.py", line 103, in emit_with_alignment
    out = self.model.generate(
  File "/home/mobility/STiTy/.venv-autoseg/lib/python3.10/site-packages/torch/utils/_contextlib.py", line 124, in decorate_context
    return func(*args, **kwargs)
  File "/home/mobility/STiTy/.venv-autoseg/lib/python3.10/site-packages/transformers/generation/utils.py", line 2566, in generate
    result = decoding_method(
  File "/home/mobility/STiTy/.venv-autoseg/lib/python3.10/site-packages/transformers/generation/utils.py", line 2781, in _sample
    while self._has_unfinished_sequences(this_peer_finished, synced_gpus, device=input_ids.device):
  File "/home/mobility/STiTy/.venv-autoseg/lib/python3.10/site-packages/transformers/generation/utils.py", line 2599, in _has_unfinished_sequences
    elif this_peer_finished:
torch.AcceleratorError: CUDA error: unspecified launch failure
Search for `cudaErrorLaunchFailure' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1

[alignatt] en→ja, 15430문장
  [ja] 25/15430  10s  ETA 104.4m
  [ja] 50/15430  15s  ETA 78.3m
  [ja] 75/15430  19s  ETA 66.0m
  [ja] 100/15430  24s  ETA 61.3m
  [ja] 125/15430  28s  ETA 57.6m
  [ja] 150/15430  33s  ETA 56.0m
  [ja] 175/15430  37s  ETA 54.3m
  [ja] 200/15430  42s  ETA 52.9m
  [ja] 225/15430  46s  ETA 51.7m
  [ja] 250/15430  51s  ETA 51.3m
  [ja] 275/15430  55s  ETA 50.1m
  [ja] 300/15430  60s  ETA 50.1m
  [ja] 325/15430  64s  ETA 49.6m
  [ja] 350/15430  69s  ETA 49.4m
  [ja] 375/15430  74s  ETA 49.2m
  [ja] 400/15430  78s  ETA 48.9m
  [ja] 425/15430  84s  ETA 49.2m
  [ja] 450/15430  88s  ETA 48.7m
  [ja] 475/15430  92s  ETA 48.5m
  [ja] 500/15430  96s  ETA 48.0m
  [ja] 525/15430  102s  ETA 48.4m
  [ja] 550/15430  106s  ETA 47.7m
  [ja] 575/15430  110s  ETA 47.4m
  [ja] 600/15430  114s  ETA 47.0m
  [ja] 625/15430  119s  ETA 47.1m
  [ja] 650/15430  124s  ETA 47.0m
  [ja] 675/15430  128s  ETA 46.7m
  [ja] 700/15430  133s  ETA 46.8m
  [ja] 725/15430  138s  ETA 46.5m
  [ja] 750/15430  141s  ETA 46.1m
  [ja] 775/15430  146s  ETA 45.9m
  [ja] 800/15430  150s  ETA 45.6m
  [ja] 825/15430  154s  ETA 45.5m
  [ja] 850/15430  158s  ETA 45.3m
  [ja] 875/15430  162s  ETA 45.0m
  [ja] 900/15430  166s  ETA 44.7m
  [ja] 925/15430  170s  ETA 44.4m
